Shoreline Segment ID,Observation Date,Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Monthly Peak Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Monthly Sediment Budget Balance (m3/m/month),Vegetation Cover (%),Previous Month Shoreline Position Change (m),Relative Sea-Level Rise (mm/yr),Monthly Coastal Erosion Condition Class
DSC-09,2023-02-01,1.275,7.526,0.873,0.981,8.0,0.0308,0.228,3.14,0.0051,NaN,19.0,-0.839,5.08,Mild Erosion Pressure
DSC-09,2023-03-01,1.375,7.811,0.873,0.912,NaN,0.0289,0.228,3.13,0.0051,0.361,19.6,-0.204,5.08,Mild Erosion Pressure
DSC-09,2023-04-01,1.121,7.558,0.873,0.74,8.588,0.0264,0.228,3.17,0.0051,-0.36,19.1,-0.466,5.08,Mild Erosion Pressure
DSC-09,2023-05-01,0.936,7.444,0.873,0.769,8.083,0.0307,0.228,3.165,0.0051,0.441,19.5,-0.593,5.08,Stable Seasonal State
DSC-09,2023-06-01,1.13,7.55,NaN,0.957,8.0,0.0274,0.228,3.173,0.0051,-0.242,20.5,0.162,5.08,Mild Erosion Pressure
DSC-09,2023-07-01,1.077,7.594,0.873,0.902,8.0,0.0298,NaN,3.185,0.0051,0.165,20.8,-0.219,5.08,Mild Erosion Pressure
DSC-09,2023-08-01,0.91,7.321,0.873,0.687,8.0,0.0281,0.228,NaN,0.0051,-0.103,21.9,-0.19,5.08,Mild Erosion Pressure
DSC-09,2023-09-01,1.027,7.399,0.873,0.89,8.654,NaN,0.228,3.134,0.0051,-0.056,21.5,-0.287,5.08,Mild Erosion Pressure
DSC-09,2023-10-01,1.121,NaN,0.873,0.878,8.841,0.0334,0.228,3.134,0.0051,-0.879,20.5,-0.39,5.08,Active Erosion
DSC-09,2023-11-01,1.222,8.126,0.873,0.877,8.0,0.0303,0.228,3.15,NaN,NaN,21.1,-0.758,5.08,Mild Erosion Pressure
DSC-09,2023-12-01,1.357,8.199,0.873,0.987,8.0,0.0283,0.228,3.196,NaN,-0.994,22.7,NaN,5.08,Active Erosion
DSC-09,2024-01-01,1.361,7.611,0.873,0.99,8.0,0.0308,0.228,3.175,0.0051,-0.671,21.4,-0.773,5.08,Mild Erosion Pressure
DSC-09,2024-02-01,1.473,8.203,NaN,1.147,8.0,0.0319,0.228,3.146,0.0051,-1.982,22.5,-0.461,5.08,Mild Erosion Pressure
DSC-09,2024-03-01,0.964,7.779,0.873,0.869,9.313,0.0337,0.228,3.154,0.0051,-1.532,21.7,-0.683,5.08,Mild Erosion Pressure
DSC-09,2024-04-01,1.089,7.878,0.873,0.868,8.317,0.0317,NaN,3.129,0.0051,-0.778,20.6,-0.638,5.08,Active Erosion
DSC-09,2024-05-01,0.816,7.178,0.873,0.867,8.0,0.0309,0.228,NaN,0.0051,0.521,21.1,NaN,NaN,Mild Erosion Pressure
DSC-09,2024-06-01,0.647,6.861,0.873,NaN,8.0,NaN,0.228,3.123,0.0051,NaN,22.4,-0.184,5.08,Stable Seasonal State
DSC-09,2024-07-01,1.248,7.539,0.873,0.878,8.803,NaN,0.228,3.135,0.0051,-0.082,23.0,0.331,5.08,Stable Seasonal State
DSC-09,2024-08-01,0.939,6.656,0.873,NaN,8.958,0.0289,0.228,3.086,0.0051,0.764,21.4,-0.035,5.08,Mild Erosion Pressure
DSC-09,2024-09-01,1.201,7.778,0.873,0.832,9.637,0.0279,0.228,3.142,0.0051,0.332,21.6,-0.186,5.08,Mild Erosion Pressure
DSC-09,2024-10-01,1.716,7.407,0.873,0.958,10.815,0.0267,0.228,3.14,0.0051,-0.322,NaN,-0.196,5.08,Mild Erosion Pressure
DSC-09,2024-11-01,2.26,9.265,0.873,1.436,11.052,0.0288,0.228,3.175,0.0051,-2.068,24.4,-0.268,5.08,Active Erosion
DSC-09,2024-12-01,1.638,8.564,0.873,1.174,8.241,0.0295,0.228,3.147,0.0051,NaN,24.1,-1.0,5.08,Active Erosion
DSC-10,2022-01-01,1.456,9.996,0.553,0.603,28.646,0.0288,0.22,1.927,0.0105,-1.273,14.5,-0.364,NaN,Active Erosion
DSC-10,2022-02-01,NaN,10.642,0.553,0.689,26.989,0.0329,NaN,1.903,0.0105,-1.782,14.6,-0.654,9.55,Active Erosion
DSC-10,2022-03-01,1.367,9.869,0.553,0.628,25.0,0.0292,0.22,1.873,0.0105,-1.482,15.9,-0.853,9.55,Active Erosion
DSC-10,2022-04-01,1.276,9.711,0.553,0.428,23.457,0.0314,0.22,1.854,0.0105,-1.323,13.4,-1.005,9.55,Active Erosion
DSC-10,2022-05-01,0.983,9.367,0.553,0.517,21.952,0.0299,0.22,1.886,0.0105,-0.455,12.4,-0.57,9.55,Active Erosion
DSC-10,2022-06-01,1.117,9.231,0.553,0.518,20.274,0.0368,0.22,1.881,0.0105,-0.88,12.4,-1.017,9.55,Active Erosion
DSC-10,2022-07-01,0.971,8.475,NaN,0.356,17.917,0.0343,0.22,1.865,0.0105,0.45,14.0,-0.908,NaN,Mild Erosion Pressure
DSC-10,2022-08-01,0.803,8.315,0.553,0.377,17.031,0.0309,0.22,1.883,0.0105,-0.413,NaN,-0.224,9.55,Mild Erosion Pressure
DSC-10,2022-09-01,0.843,8.766,0.553,0.29,15.541,0.0296,0.22,1.815,0.0105,-0.934,15.7,-0.438,9.55,Mild Erosion Pressure
DSC-10,2022-10-01,0.992,9.291,0.553,0.26,14.064,NaN,0.22,1.802,0.0105,-0.488,18.4,-0.637,NaN,Mild Erosion Pressure
DSC-10,2022-11-01,0.894,10.323,0.553,0.284,12.927,0.0318,NaN,1.824,0.0105,NaN,16.5,-0.587,9.55,Active Erosion
DSC-10,2022-12-01,1.027,10.186,0.553,0.454,10.223,0.0302,0.22,1.881,0.0105,-0.865,16.4,-0.827,9.55,Active Erosion
DSC-10,2023-01-01,1.001,10.136,0.553,0.462,8.424,0.0321,0.22,1.91,0.0105,-1.61,14.5,-1.118,9.55,Active Erosion
DSC-10,2023-02-01,1.3,9.828,NaN,0.512,8.0,0.0325,0.22,1.879,0.0105,-2.028,15.7,-1.145,9.55,Active Erosion
DSC-10,2023-03-01,1.229,9.949,0.553,0.559,8.0,NaN,0.22,1.857,0.0105,-0.726,15.1,-0.764,9.55,Active Erosion
DSC-10,2023-04-01,0.79,NaN,0.553,0.384,8.0,0.0278,0.22,1.827,0.0105,-1.913,15.6,-0.732,9.55,Active Erosion
DSC-10,2023-05-01,0.686,8.945,0.553,0.231,8.067,0.0314,0.22,1.852,0.0105,-0.854,14.8,-0.697,NaN,Active Erosion
DSC-10,2023-06-01,NaN,8.78,0.553,0.29,8.0,0.0305,0.22,1.865,0.0105,-0.255,14.8,-0.781,9.55,Mild Erosion Pressure
DSC-10,2023-07-01,0.806,8.917,0.553,0.335,8.0,0.032,0.22,1.857,0.0105,0.227,14.8,-0.402,9.55,Mild Erosion Pressure
DSC-10,2023-08-01,0.685,9.601,0.553,0.319,8.0,0.0312,0.22,NaN,NaN,0.001,14.8,-0.282,9.55,Mild Erosion Pressure
DSC-10,2023-09-01,0.918,9.24,NaN,0.345,8.053,0.0298,0.22,1.948,0.0105,0.297,16.0,-0.346,NaN,Mild Erosion Pressure
DSC-10,2023-10-01,0.852,NaN,0.553,0.348,8.0,0.0279,NaN,2.01,0.0105,-1.823,15.2,-0.663,9.55,Active Erosion
DSC-10,2023-11-01,1.376,9.65,0.553,NaN,8.0,0.0289,NaN,2.042,0.0105,-1.575,13.5,-0.712,9.55,Active Erosion
DSC-10,2023-12-01,1.227,9.959,0.553,0.451,8.0,0.028,0.22,2.04,0.0105,-0.961,NaN,-0.97,9.55,Active Erosion
DSC-10,2024-01-01,1.179,10.642,0.553,0.531,8.0,0.0332,0.22,2.0,0.0105,NaN,13.3,-0.935,9.55,Active Erosion
DSC-10,2024-02-01,1.348,10.475,0.553,0.41,8.0,0.0326,0.22,NaN,0.0105,-1.455,13.0,-1.148,9.55,Active Erosion
DSC-10,2024-03-01,1.324,9.694,0.553,0.509,8.0,0.03,0.22,1.996,0.0105,-0.202,NaN,-0.932,9.55,Mild Erosion Pressure
DSC-10,2024-04-01,1.052,9.885,0.553,0.432,8.0,0.0289,0.22,2.02,0.0105,-1.022,10.9,-0.586,9.55,Active Erosion
DSC-10,2024-05-01,0.86,9.517,0.553,NaN,8.0,0.0306,0.22,2.025,0.0105,-0.458,11.3,-0.718,9.55,Mild Erosion Pressure
DSC-10,2024-06-01,0.977,8.99,0.553,0.398,8.0,0.0319,0.22,1.998,NaN,0.339,NaN,-0.571,9.55,Mild Erosion Pressure
DSC-10,2024-07-01,0.797,9.279,0.553,0.386,8.0,0.0333,0.22,2.053,0.0105,-0.208,7.1,-0.546,NaN,Mild Erosion Pressure
DSC-10,2024-08-01,0.912,9.016,0.553,0.416,8.0,0.0295,0.22,2.063,0.0105,-0.207,9.5,-0.325,9.55,Mild Erosion Pressure
DSC-10,2024-09-01,1.122,9.013,NaN,0.371,8.333,0.0285,0.22,2.029,0.0105,0.245,9.8,-0.417,9.55,Active Erosion
DSC-10,2024-10-01,1.524,10.046,0.553,0.663,8.922,0.0306,0.22,2.046,0.0105,-2.111,8.5,-1.051,9.55,Active Erosion
DSC-10,2024-11-01,0.97,8.725,0.553,0.438,8.0,0.0303,0.22,2.006,0.0105,-1.551,6.5,-1.248,9.55,Mild Erosion Pressure
DSC-10,2024-12-01,1.13,9.696,0.553,0.478,8.0,0.0307,0.22,2.005,0.0105,-1.642,6.2,-0.598,9.55,Active Erosion
DSC-14,2022-01-01,1.314,8.992,1.029,1.626,20.593,0.0166,0.123,3.312,0.0084,-1.298,24.0,-0.264,5.06,Mild Erosion Pressure
DSC-14,2022-02-01,1.63,9.037,1.029,1.593,20.118,0.015,0.123,3.274,0.0084,-1.859,25.4,-0.163,5.06,Active Erosion
DSC-14,2022-03-01,1.348,8.808,1.029,1.519,19.144,0.0207,0.123,3.333,0.0084,-1.403,26.2,-0.584,5.06,Active Erosion
DSC-14,2022-04-01,1.271,8.226,1.029,1.645,19.109,0.0173,0.123,3.346,0.0084,-1.498,26.4,-0.701,5.06,Mild Erosion Pressure
DSC-14,2022-05-01,1.634,8.641,NaN,1.736,18.56,0.0167,0.123,3.387,0.0084,-1.536,28.6,-0.533,5.06,Active Erosion
DSC-14,2022-06-01,0.995,7.825,1.029,1.489,18.65,NaN,NaN,3.468,0.0084,-0.48,27.8,-0.625,5.06,Mild Erosion Pressure
DSC-14,2022-07-01,1.203,8.15,1.029,1.391,18.115,NaN,0.123,3.468,0.0084,-0.371,26.9,-0.158,5.06,Active Erosion
DSC-14,2022-08-01,2.354,8.938,1.029,2.095,15.344,0.0184,0.123,NaN,0.0084,-3.383,26.3,-0.778,5.06,Active Erosion
DSC-14,2022-09-01,NaN,8.527,1.029,1.677,11.603,0.023,0.123,3.517,0.0084,-2.23,25.6,-1.233,5.06,Active Erosion
DSC-14,2022-10-01,1.4,8.936,1.029,1.482,10.899,0.0184,0.123,NaN,0.0084,NaN,25.4,-0.952,5.06,Active Erosion
DSC-14,2022-11-01,NaN,8.782,1.029,1.458,NaN,0.018,0.123,3.568,0.0084,-1.12,24.6,-0.887,5.06,Active Erosion
DSC-14,2022-12-01,1.248,8.712,NaN,1.523,8.0,0.0212,0.123,3.575,0.0084,-1.845,23.9,-0.75,5.06,Mild Erosion Pressure
DSC-14,2023-01-01,NaN,8.069,NaN,1.525,8.0,0.0174,0.123,3.594,NaN,-1.992,20.0,-0.689,5.06,Mild Erosion Pressure
DSC-14,2023-02-01,1.104,8.758,1.029,1.444,8.0,0.0172,0.123,3.568,0.0084,-2.023,18.6,-0.585,5.06,Active Erosion
DSC-14,2023-03-01,1.293,7.363,1.029,1.516,8.0,0.0186,0.123,3.582,0.0084,-0.681,18.4,-0.713,5.06,Mild Erosion Pressure
DSC-14,2023-04-01,1.146,8.623,1.029,1.318,8.0,0.0172,0.123,3.573,0.0084,-1.523,18.9,-0.541,5.06,Mild Erosion Pressure
DSC-14,2023-05-01,0.84,NaN,1.029,1.488,8.0,0.015,0.123,3.557,0.0084,-0.646,20.2,-0.423,5.06,Mild Erosion Pressure
DSC-14,2023-06-01,1.107,8.384,NaN,1.51,8.0,0.0169,0.123,3.55,0.0084,-0.472,22.4,-0.158,5.06,Mild Erosion Pressure
DSC-14,2023-07-01,0.954,6.784,1.029,1.345,8.0,0.0214,0.123,3.51,0.0084,0.247,24.1,-0.51,5.06,Mild Erosion Pressure
DSC-14,2023-08-01,0.806,8.088,1.029,1.478,8.0,0.0186,0.123,3.529,0.0084,-1.248,23.6,-0.47,5.06,Mild Erosion Pressure
DSC-14,2023-09-01,1.869,8.953,1.029,1.753,8.0,0.0161,0.123,3.513,0.0084,-3.172,24.6,-0.348,5.06,Mild Erosion Pressure
DSC-14,2023-10-01,1.28,8.427,1.029,1.547,8.0,0.0172,0.123,3.505,0.0084,-2.088,27.4,-0.635,5.06,Mild Erosion Pressure
DSC-14,2023-11-01,2.598,10.071,1.029,2.129,8.0,0.0171,0.123,3.471,0.0084,-3.907,26.5,-0.639,5.06,Severe Erosion Episode
DSC-14,2023-12-01,1.726,8.731,1.029,1.734,8.0,0.0158,0.123,3.449,0.0084,-1.652,25.8,-1.4,5.06,Mild Erosion Pressure
DSC-14,2024-01-01,1.375,8.424,1.029,1.634,8.206,0.015,0.123,3.448,0.0084,-1.877,26.6,-0.666,NaN,Active Erosion
DSC-14,2024-02-01,1.263,8.042,1.029,1.494,8.0,0.0204,0.123,3.498,0.0084,-1.661,28.7,-0.886,5.06,Mild Erosion Pressure
DSC-14,2024-03-01,NaN,8.881,1.029,1.3,8.0,0.0205,0.123,3.515,0.0084,-1.419,29.2,-0.691,5.06,Active Erosion
DSC-14,2024-04-01,0.943,7.923,1.029,1.263,8.0,0.0201,0.123,3.489,0.0084,-0.994,28.7,-0.892,5.06,Mild Erosion Pressure
DSC-14,2024-05-01,0.99,8.031,1.029,1.37,8.0,0.015,0.123,3.491,0.0084,-0.647,31.3,-0.293,5.06,Mild Erosion Pressure
DSC-14,2024-06-01,0.875,7.712,1.029,1.368,8.0,0.0163,0.123,3.468,NaN,NaN,32.2,-0.324,5.06,Mild Erosion Pressure
DSC-14,2024-07-01,1.155,7.792,1.029,1.382,8.654,0.0172,0.123,3.45,0.0084,-0.351,32.5,0.009,5.06,Mild Erosion Pressure
DSC-14,2024-08-01,1.208,7.899,1.029,1.403,8.0,0.0163,NaN,3.494,0.0084,-0.258,32.9,-0.377,5.06,Mild Erosion Pressure
DSC-14,2024-09-01,1.199,8.047,1.029,1.325,8.0,0.0169,NaN,3.52,0.0084,-1.565,33.2,-0.519,NaN,Mild Erosion Pressure
DSC-14,2024-10-01,1.504,NaN,1.029,1.589,8.0,0.0168,0.123,3.506,0.0084,-1.145,34.4,-0.698,5.06,Active Erosion
DSC-14,2024-11-01,1.26,8.561,1.029,1.435,8.0,0.0158,0.123,3.488,0.0084,-1.446,34.3,-0.756,5.06,Mild Erosion Pressure
DSC-14,2024-12-01,1.595,8.599,1.029,1.566,8.0,0.0171,0.123,3.49,0.0084,-2.237,NaN,-0.598,5.06,Active Erosion
DSC-16,2022-01-01,2.16,8.127,0.573,0.866,34.38,0.0188,0.133,3.041,0.0045,-0.327,22.8,-0.059,5.27,Mild Erosion Pressure
DSC-16,2022-02-01,1.903,8.289,0.573,0.661,33.838,0.0194,0.133,3.026,0.0045,0.662,21.3,-0.614,5.27,Active Erosion
DSC-16,2022-03-01,1.963,8.723,0.573,NaN,31.894,0.0207,0.133,NaN,0.0045,-0.051,20.2,-0.852,5.27,Active Erosion
DSC-16,2022-04-01,1.675,8.479,0.573,0.575,29.503,0.021,0.133,NaN,0.0045,-0.502,20.1,-0.916,5.27,Mild Erosion Pressure
DSC-16,2022-05-01,1.67,7.686,0.573,0.527,29.345,0.0171,0.133,3.022,0.0045,0.799,22.2,-0.597,5.27,Mild Erosion Pressure
DSC-16,2022-06-01,NaN,7.303,0.573,0.639,30.018,0.0197,0.133,3.028,0.0045,0.917,21.7,-0.258,5.27,Mild Erosion Pressure
DSC-16,2022-07-01,NaN,7.76,0.573,0.601,29.867,0.0167,0.133,3.044,0.0045,0.568,23.4,NaN,5.27,Mild Erosion Pressure
DSC-16,2022-08-01,1.673,7.525,0.573,0.722,30.681,0.0158,0.133,3.088,0.0045,NaN,23.9,-0.389,5.27,Stable Seasonal State
DSC-16,2022-09-01,1.406,8.222,0.573,NaN,31.24,0.015,0.133,3.165,0.0045,-0.444,24.7,-0.022,5.27,Mild Erosion Pressure
DSC-16,2022-10-01,1.558,7.462,0.573,0.53,30.953,0.015,0.133,3.131,0.0045,-0.495,26.8,-0.114,5.27,Mild Erosion Pressure
DSC-16,2022-11-01,1.8,8.426,0.573,0.779,30.586,0.015,0.133,3.109,0.0045,-0.501,26.9,-0.351,5.27,Mild Erosion Pressure
DSC-16,2022-12-01,1.814,8.693,0.573,0.739,30.249,0.0165,0.133,3.129,0.0045,-0.528,26.2,-0.46,5.27,Mild Erosion Pressure
DSC-16,2023-01-01,2.265,8.595,0.573,1.011,29.269,0.0227,0.133,3.131,0.0045,-1.106,25.3,-0.677,5.27,Mild Erosion Pressure
DSC-16,2023-02-01,1.972,8.767,0.573,0.784,25.905,0.016,0.133,3.119,0.0045,-0.586,23.3,-0.699,5.27,Active Erosion
DSC-16,2023-03-01,1.852,8.119,0.573,0.709,NaN,0.0178,0.133,3.115,0.0045,-0.554,NaN,-0.748,5.27,Active Erosion
DSC-16,2023-04-01,1.372,7.723,0.573,0.522,24.674,0.02,0.133,3.14,0.0045,0.59,26.6,-1.221,5.27,Stable Seasonal State
DSC-16,2023-05-01,1.381,7.813,0.573,0.59,24.707,0.0154,0.133,3.119,0.0045,-0.36,NaN,-0.103,5.27,Stable Seasonal State
DSC-16,2023-06-01,1.459,NaN,0.573,0.588,25.349,0.0157,0.133,3.113,0.0045,0.627,NaN,-0.138,5.27,Mild Erosion Pressure
DSC-16,2023-07-01,1.632,8.275,0.573,0.731,25.421,0.0156,0.133,3.12,0.0045,-0.596,29.7,-0.49,5.27,Mild Erosion Pressure
DSC-16,2023-08-01,1.285,7.357,0.573,0.564,24.206,0.0199,NaN,3.123,0.0045,0.519,29.2,-0.267,5.27,Mild Erosion Pressure
DSC-16,2023-09-01,1.694,7.661,0.573,0.749,22.987,0.0189,0.133,3.14,0.0045,-0.666,30.0,-0.362,5.27,Active Erosion
DSC-16,2023-10-01,1.547,8.038,0.573,0.617,21.404,0.0207,0.133,3.13,0.0045,-0.596,28.4,-0.706,5.27,Active Erosion
DSC-16,2023-11-01,1.933,8.404,0.573,0.676,19.263,0.0222,0.133,3.133,0.0045,-0.522,26.2,-0.892,NaN,Active Erosion
DSC-16,2023-12-01,2.071,8.532,0.573,0.861,17.609,0.022,0.133,3.104,0.0045,0.132,23.3,-0.93,5.27,Mild Erosion Pressure
DSC-16,2024-01-01,2.006,8.493,0.573,0.778,18.047,0.0179,0.133,3.164,0.0045,-0.49,24.2,-0.61,5.27,Active Erosion
DSC-16,2024-02-01,2.018,8.908,0.573,NaN,17.962,0.0169,0.133,3.155,0.0045,0.333,24.3,-0.859,5.27,Active Erosion
DSC-16,2024-03-01,1.927,8.384,0.573,0.572,15.89,0.0232,0.133,3.157,0.0045,0.602,25.6,-0.784,5.27,Active Erosion
DSC-16,2024-04-01,1.793,7.717,0.573,0.59,13.79,0.0171,NaN,3.141,NaN,0.242,25.7,-0.833,5.27,Active Erosion
DSC-16,2024-05-01,1.544,7.886,0.573,0.543,13.273,NaN,0.133,3.181,0.0045,0.207,25.2,-0.724,5.27,Mild Erosion Pressure
DSC-16,2024-06-01,NaN,NaN,0.573,0.559,13.053,0.0175,0.133,NaN,0.0045,0.592,23.8,NaN,5.27,Mild Erosion Pressure
DSC-16,2024-07-01,1.429,7.975,0.573,0.631,14.015,0.0167,0.133,3.171,0.0045,0.791,23.7,-0.268,5.27,Stable Seasonal State
DSC-16,2024-08-01,1.718,7.676,0.573,NaN,14.446,0.0162,0.133,3.187,NaN,-0.024,25.3,-0.002,5.27,Mild Erosion Pressure
DSC-16,2024-09-01,1.258,8.549,0.573,NaN,14.788,0.0171,0.133,3.148,0.0045,0.369,26.2,-0.333,5.27,Mild Erosion Pressure
DSC-16,2024-10-01,2.02,8.395,0.573,0.82,15.245,0.015,0.133,3.175,NaN,-0.582,28.6,-0.294,5.27,Mild Erosion Pressure
DSC-16,2024-11-01,2.09,8.445,0.573,0.587,15.161,0.0204,0.133,3.154,0.0045,-0.418,29.2,-0.518,5.27,Active Erosion
DSC-16,2024-12-01,1.586,8.627,0.573,NaN,14.634,0.0186,NaN,3.143,0.0045,-0.126,28.9,-0.763,5.27,Mild Erosion Pressure
DSC-17,2022-01-01,1.327,7.726,0.427,0.426,13.662,0.0154,0.126,1.437,0.0087,-1.767,25.4,-0.159,6.59,Active Erosion
DSC-17,2022-02-01,1.394,7.559,0.427,NaN,12.735,0.0192,NaN,1.474,0.0087,-0.741,23.7,-0.546,6.59,Mild Erosion Pressure
DSC-17,2022-03-01,NaN,6.968,0.427,0.536,11.653,0.0187,NaN,1.486,0.0087,NaN,23.9,-0.524,6.59,Active Erosion
DSC-17,2022-04-01,1.529,7.967,0.427,0.712,10.07,0.0181,0.126,1.446,0.0087,NaN,NaN,-0.986,6.59,Severe Erosion Episode
DSC-17,2022-05-01,1.202,6.967,0.427,0.395,8.0,0.0243,0.126,1.432,0.0087,-1.08,22.0,-1.3,6.59,Active Erosion
DSC-17,2022-06-01,1.552,7.369,0.427,0.593,8.0,0.0177,0.126,1.457,0.0087,-1.126,21.3,-0.128,6.59,Active Erosion
DSC-17,2022-07-01,1.086,NaN,0.427,0.399,8.0,0.015,0.126,1.511,0.0087,-0.032,22.8,-0.574,6.59,Mild Erosion Pressure
DSC-17,2022-08-01,0.815,7.304,0.427,0.344,8.0,0.0165,0.126,1.535,0.0087,NaN,24.5,-0.453,6.59,Mild Erosion Pressure
DSC-17,2022-09-01,1.057,6.707,0.427,0.339,8.426,0.0173,0.126,1.548,0.0087,-0.209,25.2,-0.402,6.59,Mild Erosion Pressure
DSC-17,2022-10-01,1.073,6.58,0.427,0.307,8.0,0.0186,0.126,1.569,0.0087,-1.079,24.7,-0.377,6.59,Active Erosion
DSC-17,2022-11-01,1.354,7.348,0.427,0.395,8.0,0.0166,0.126,1.539,0.0087,-1.388,25.9,-0.338,6.59,Active Erosion
DSC-17,2022-12-01,NaN,7.182,0.427,0.382,8.0,0.015,0.126,1.54,0.0087,-1.764,25.4,NaN,6.59,Active Erosion
DSC-17,2023-01-01,1.354,7.133,NaN,0.416,8.0,0.0181,0.126,NaN,0.0087,-0.849,24.9,-0.82,6.59,Active Erosion
DSC-17,2023-02-01,1.405,7.79,0.427,0.495,8.0,0.0215,0.126,1.587,0.0087,-0.314,23.0,-0.911,6.59,Active Erosion
DSC-17,2023-03-01,1.332,NaN,0.427,0.51,8.0,0.0187,0.126,1.599,0.0087,-1.371,19.8,-0.826,6.59,Active Erosion
DSC-17,2023-04-01,1.371,6.791,0.427,0.35,8.0,0.021,0.126,1.592,0.0087,-1.147,19.4,-0.946,6.59,Active Erosion
DSC-17,2023-05-01,1.097,7.474,0.427,0.401,NaN,0.0181,0.126,1.609,0.0087,-0.519,19.7,-0.576,6.59,Active Erosion
DSC-17,2023-06-01,0.808,7.045,0.427,0.312,8.0,0.016,NaN,1.59,0.0087,0.119,22.2,-0.829,6.59,Mild Erosion Pressure
DSC-17,2023-07-01,0.998,7.171,0.427,0.346,8.0,NaN,0.126,1.582,0.0087,-0.063,24.7,-0.361,6.59,Mild Erosion Pressure
DSC-17,2023-08-01,0.79,6.63,0.427,0.303,8.0,0.0156,0.126,1.574,0.0087,-0.315,25.6,-0.479,6.59,Mild Erosion Pressure
DSC-17,2023-09-01,0.84,7.274,0.427,0.352,NaN,0.0164,0.126,1.52,0.0087,-0.722,25.7,-0.307,6.59,Mild Erosion Pressure
DSC-17,2023-10-01,0.93,7.422,0.427,0.43,8.0,0.0182,0.126,1.492,0.0087,-0.273,26.0,-0.388,6.59,Mild Erosion Pressure
DSC-17,2023-11-01,1.174,7.828,0.427,0.489,8.0,0.0162,0.126,1.526,0.0087,-0.267,26.1,-0.375,6.59,Active Erosion
DSC-17,2023-12-01,1.35,7.523,0.427,0.546,8.0,0.015,0.126,NaN,0.0087,-1.209,26.5,-0.801,6.59,Active Erosion
DSC-17,2024-01-01,1.806,7.849,NaN,0.767,8.0,0.015,0.126,1.486,0.0087,NaN,23.7,-0.7,6.59,Severe Erosion Episode
DSC-17,2024-02-01,1.573,8.034,0.427,0.598,8.0,0.0206,0.126,1.47,0.0087,-0.977,22.6,NaN,6.59,Severe Erosion Episode
DSC-17,2024-03-01,1.462,7.197,0.427,0.5,8.0,0.0195,0.126,1.432,0.0087,-0.735,20.5,-1.327,6.59,Active Erosion
DSC-17,2024-04-01,1.268,6.902,0.427,0.336,8.0,0.019,0.126,NaN,0.0087,-0.959,19.8,-0.931,6.59,Mild Erosion Pressure
DSC-17,2024-05-01,0.942,6.6,0.427,0.339,8.0,0.023,0.126,1.387,0.0087,-1.421,19.8,-0.648,6.59,Active Erosion
