Observation Date,Daily Rainfall (mm),Antecedent 3-Day Rainfall (mm),Antecedent 7-Day Rainfall (mm),Groundwater Depth Below Ground Surface (m),Piezometric Head Above Slip Surface (m),Volumetric Water Content (%),Matric Suction (kPa),Pore Pressure Ratio ru (-),Surface Displacement Rate (mm/day),7-Day Cumulative Surface Displacement (mm),Inclinometer Shear Zone Movement Rate (mm/day),Extensometer Extension Rate (mm/day),Slope Stability Alert Level
2022-02-03,0.0,0.0,16.89,7.72,0.0,22.06,47.13,0.02,0.018,0.187,0.0,0.053,Normal
2022-02-04,0.0,0.0,16.89,8.11,0.0,16.72,NaN,0.02,0.012,0.188,0.04,0.0,Normal
2022-02-05,7.01,7.01,23.9,8.24,0.0,17.0,52.55,0.061,0.035,0.213,NaN,0.04,Elevated
2022-02-06,3.53,10.54,27.43,6.02,0.0,18.79,55.51,0.098,0.076,0.236,NaN,0.157,Elevated
2022-02-07,28.17,38.71,38.71,6.51,NaN,22.13,42.81,0.148,0.035,0.253,0.04,NaN,Elevated
2022-02-08,34.84,NaN,73.55,5.27,0.23,24.47,37.11,0.195,0.034,0.274,0.007,0.187,Watch
2022-02-09,0.0,63.01,NaN,4.57,0.77,24.74,34.77,0.181,0.01,0.22,0.041,0.257,Watch
2022-02-10,0.0,34.84,73.55,6.46,0.0,20.83,42.54,0.058,0.047,0.249,0.0,0.002,Watch
2022-02-11,NaN,0.0,73.55,4.85,0.39,18.67,36.9,0.051,0.027,0.264,NaN,0.025,Watch
2022-02-12,6.94,6.94,73.47,5.26,0.0,23.75,41.21,0.048,0.02,0.249,0.079,0.129,Watch
2022-02-13,0.0,6.94,69.95,5.86,0.0,20.71,41.35,0.059,0.018,0.191,0.0,0.0,Watch
2022-02-14,0.0,6.94,41.77,6.27,0.0,17.52,44.82,0.068,0.023,0.179,0.0,0.051,Elevated
2022-02-15,6.53,6.53,13.47,NaN,0.0,19.95,50.59,0.02,0.031,0.177,0.0,0.071,Normal
2022-02-16,0.0,NaN,13.47,7.6,0.0,20.79,44.17,0.068,0.025,0.192,0.027,0.057,Normal
2022-02-17,0.0,6.53,13.47,8.64,0.0,19.15,48.85,0.048,0.01,0.154,0.112,0.048,Normal
2022-02-18,0.0,0.0,13.47,7.68,0.0,18.63,55.66,0.048,0.01,0.137,0.0,0.101,Normal
2022-02-19,0.0,0.0,6.53,7.61,0.0,18.87,47.05,0.084,0.049,0.165,0.023,NaN,Normal
2022-02-20,0.0,0.0,6.53,8.85,0.0,18.54,NaN,0.02,0.084,0.232,0.0,0.111,Normal
2022-02-21,5.45,5.45,11.98,7.71,0.0,17.32,52.17,0.068,0.01,0.219,0.0,0.105,Normal
2022-02-22,42.98,48.43,48.43,5.83,0.0,21.18,NaN,0.127,0.034,0.222,0.063,NaN,Elevated
2022-02-23,18.11,66.54,66.54,5.51,0.0,23.94,35.11,0.148,0.098,0.295,0.106,0.232,Watch
2022-02-24,0.0,61.09,66.54,6.0,0.0,23.19,42.73,0.184,0.101,0.386,0.099,0.227,Watch
2022-02-25,NaN,18.11,66.54,7.14,0.0,22.81,44.14,NaN,0.01,0.386,0.068,0.015,Watch
2022-02-26,0.0,0.0,66.54,6.11,0.0,20.54,38.72,0.047,0.01,0.348,0.0,0.038,Watch
2022-02-27,NaN,0.0,66.54,6.38,0.0,21.54,47.14,0.074,NaN,0.32,0.008,0.041,Watch
2022-02-28,15.86,NaN,76.95,4.7,0.67,19.19,45.47,0.163,NaN,0.328,NaN,0.033,Watch
2022-03-01,0.0,15.86,33.97,6.16,0.0,21.31,44.7,0.07,0.049,0.343,0.0,NaN,Elevated
2022-03-02,0.0,15.86,15.86,7.72,0.0,22.41,50.04,0.089,0.027,0.272,0.01,NaN,Normal
2022-03-03,0.0,0.0,15.86,7.79,NaN,17.48,55.76,0.059,0.036,0.206,0.014,0.16,Normal
2022-03-04,16.88,16.88,NaN,6.15,0.0,20.17,47.01,0.144,0.04,0.236,0.002,0.019,Elevated
2022-03-05,NaN,22.83,38.69,6.5,0.0,NaN,42.66,0.037,0.04,NaN,0.01,0.004,Elevated
2022-03-06,17.86,40.69,56.55,6.06,0.0,24.74,36.76,0.118,0.023,0.232,0.001,0.116,Elevated
2022-03-07,0.0,23.81,40.69,6.74,0.0,21.15,45.33,NaN,0.069,0.284,NaN,0.038,Elevated
2022-03-08,0.0,17.86,40.69,6.9,0.0,20.37,48.6,0.107,0.092,0.327,0.04,0.0,Elevated
2022-03-09,NaN,0.0,40.69,6.8,0.0,17.96,48.92,0.02,0.05,0.35,0.081,NaN,Elevated
2022-03-10,0.0,0.0,40.69,6.25,0.0,21.14,39.69,0.077,NaN,0.385,0.024,0.0,Elevated
2022-03-11,0.0,0.0,23.81,6.97,0.0,23.52,49.57,NaN,0.035,0.381,0.011,0.016,Elevated
2022-03-12,12.56,12.56,30.41,6.14,0.0,21.43,45.99,0.048,0.041,0.382,NaN,0.047,Elevated
2022-03-13,62.0,74.56,74.56,6.05,0.0,NaN,37.45,0.124,0.013,0.372,0.0,0.231,Watch
2022-03-14,0.0,74.56,74.56,4.9,0.53,24.67,40.16,0.196,0.054,0.357,0.0,NaN,Watch
2022-03-15,17.66,NaN,92.23,3.93,1.36,25.2,37.27,0.327,0.086,0.35,0.081,0.234,Watch
2022-03-16,0.0,17.66,92.23,3.51,1.79,23.35,NaN,0.245,0.059,0.359,0.049,0.052,Watch
2022-03-17,52.24,69.9,144.47,3.79,1.53,NaN,24.97,0.343,0.214,0.501,0.119,0.296,Watch
2022-03-18,41.6,NaN,186.07,0.35,NaN,31.04,3.13,0.672,1.392,1.858,0.931,1.294,Emergency
2022-03-19,NaN,93.84,NaN,0.35,4.78,29.89,12.1,0.61,1.352,3.169,0.798,1.273,Emergency
2022-03-20,51.6,NaN,163.11,NaN,4.11,29.77,13.6,0.526,1.223,4.378,NaN,1.094,Warning
2022-03-21,0.0,51.6,163.11,1.1,4.07,32.71,12.39,0.509,1.243,5.568,0.709,1.02,Warning
2022-03-22,46.95,98.56,192.4,0.35,5.04,33.8,2.0,0.617,1.657,7.139,1.071,1.443,Emergency
2022-03-23,0.0,46.95,192.4,0.66,4.51,31.1,2.82,0.519,1.599,8.679,1.04,1.28,Warning
2022-03-24,12.17,59.13,152.33,1.45,3.8,32.03,10.89,NaN,1.284,9.749,0.662,1.096,Warning
2022-03-25,67.4,79.57,NaN,0.35,5.03,32.39,7.36,0.637,1.685,10.042,1.16,NaN,Emergency
2022-03-26,0.0,79.57,178.13,NaN,5.04,31.26,10.99,0.592,NaN,10.125,0.866,1.233,Emergency
2022-03-27,51.33,118.72,177.85,0.35,4.76,32.48,3.17,0.638,1.91,10.813,1.252,1.687,Emergency
2022-03-28,37.6,88.93,215.45,0.35,5.13,NaN,6.19,NaN,2.115,11.684,1.287,1.609,Emergency
2022-03-29,0.0,88.93,168.49,0.35,5.15,33.75,3.06,0.634,2.148,12.176,1.36,1.718,Emergency
2022-03-30,0.0,37.6,168.49,1.09,4.0,29.19,15.86,0.448,1.264,11.841,0.667,0.866,Warning
2022-03-31,0.0,0.0,156.32,0.99,4.16,29.0,13.96,0.429,0.971,11.528,0.613,0.556,Warning
2022-04-01,0.0,0.0,88.93,4.4,1.12,24.44,NaN,0.204,0.313,10.156,0.266,0.196,Warning
2022-04-02,0.0,0.0,88.93,3.85,1.43,26.86,35.44,0.224,0.091,8.813,0.02,NaN,Warning
2022-04-03,0.0,0.0,37.6,5.59,0.0,24.2,NaN,0.062,0.023,6.926,0.0,0.087,Warning
2022-04-04,0.0,0.0,0.0,NaN,0.0,22.13,47.31,0.02,0.017,4.828,0.07,0.02,Watch
2022-04-05,0.0,0.0,0.0,8.33,0.0,20.61,52.25,0.145,0.071,2.751,0.0,0.0,Watch
2022-04-06,0.0,0.0,0.0,8.61,0.0,20.02,60.44,0.101,0.062,1.549,0.0,NaN,Elevated
2022-04-07,33.19,33.19,33.19,6.37,0.0,24.92,NaN,0.125,0.011,0.59,0.041,0.052,Elevated
2022-04-08,0.0,33.19,33.19,6.03,0.0,22.78,50.6,0.073,0.028,0.304,0.016,0.097,Elevated
2022-04-09,0.0,33.19,33.19,5.41,0.15,23.79,49.22,0.107,0.01,0.223,0.071,0.079,Elevated
2022-04-10,0.0,0.0,33.19,NaN,0.0,21.29,46.31,0.041,0.01,NaN,0.006,NaN,Elevated
2022-04-11,15.6,15.6,48.79,6.19,0.0,23.73,40.59,0.132,0.01,0.202,0.0,0.132,Elevated
2022-04-12,45.32,60.92,94.11,3.11,2.45,28.59,22.47,0.355,0.128,0.26,0.168,0.273,Warning
2022-04-13,0.0,60.92,94.11,3.47,2.09,27.02,27.9,0.293,0.185,0.382,0.078,0.336,Watch
2022-04-14,NaN,105.81,121.41,2.11,3.24,28.21,16.15,0.457,0.555,0.926,NaN,0.65,Warning
2022-04-15,25.96,86.46,147.37,0.35,NaN,30.51,11.46,0.602,0.881,1.779,0.557,0.766,Emergency
2022-04-16,0.0,86.46,147.37,0.86,4.53,28.8,19.12,0.614,1.228,2.997,0.714,1.068,Emergency
2022-04-17,0.0,25.96,147.37,0.73,4.76,28.53,12.31,0.556,1.105,4.092,0.586,0.906,Warning
2022-04-18,0.0,0.0,131.77,1.95,3.33,27.02,21.51,0.386,0.622,4.704,0.404,0.424,Warning
2022-04-19,0.0,0.0,86.46,NaN,1.93,NaN,27.01,0.222,0.217,4.794,0.143,0.122,Watch
2022-04-20,34.78,34.78,121.24,1.47,3.99,28.05,19.51,0.328,0.173,NaN,0.185,0.188,Warning
2022-04-21,11.41,46.19,72.16,6.1,0.0,24.29,40.22,0.149,0.058,4.284,0.039,0.096,Watch
2022-04-22,0.0,46.19,46.19,6.73,0.0,22.79,43.41,0.123,0.084,3.488,0.053,0.223,Watch
2022-04-23,0.0,11.41,46.19,5.39,0.0,21.61,NaN,0.086,0.029,2.288,0.0,0.14,Watch
2022-04-24,38.11,38.11,84.3,4.36,0.49,23.75,36.6,0.173,0.01,1.193,0.0,0.053,Watch
2022-04-25,NaN,38.11,84.3,4.53,0.68,23.87,38.8,0.139,0.054,0.625,0.065,0.166,Watch
2022-04-26,0.0,38.11,84.3,5.14,0.38,25.64,36.5,0.183,0.01,0.418,0.0,0.016,Watch
2022-04-27,NaN,0.0,49.52,5.27,0.0,22.2,45.51,0.092,0.01,0.255,NaN,0.064,Elevated
2022-04-28,0.0,NaN,38.11,7.18,0.0,NaN,45.03,0.087,0.029,0.226,0.023,0.011,Elevated
2022-04-29,0.0,0.0,NaN,6.06,0.0,22.4,49.46,0.096,0.01,0.152,0.07,0.0,Elevated
2022-04-30,0.0,0.0,38.11,NaN,0.06,18.81,52.39,0.088,0.01,0.133,NaN,NaN,Elevated
2022-05-01,0.0,0.0,0.0,8.67,0.0,21.27,51.09,0.026,NaN,0.182,0.0,0.021,Normal
2022-05-02,43.61,43.61,43.61,7.01,0.0,24.61,45.73,0.116,0.07,0.197,NaN,0.176,Elevated
2022-05-03,29.08,72.7,72.7,6.6,0.0,23.42,41.68,0.174,NaN,0.233,0.119,0.151,Watch
2022-05-04,53.38,126.08,126.08,1.46,3.72,29.32,21.63,0.538,0.503,0.726,0.32,0.637,Warning
2022-05-05,0.0,NaN,126.08,2.87,NaN,26.71,26.81,0.432,0.486,1.183,0.282,0.476,Warning
2022-05-06,0.0,53.38,126.08,2.17,3.23,27.74,15.87,0.435,0.386,1.559,0.204,0.454,Warning
2022-05-07,0.0,0.0,126.08,3.1,2.34,24.84,32.71,0.357,0.234,1.782,0.111,0.181,Watch
2022-05-08,NaN,0.0,126.08,1.57,3.79,23.69,25.79,0.466,0.3,NaN,0.121,0.243,Warning
2022-05-09,0.0,NaN,82.46,3.61,2.22,24.02,33.4,0.252,0.056,2.01,0.002,0.012,Watch
2022-05-10,NaN,0.0,53.38,5.23,0.0,22.96,45.54,0.02,0.01,1.975,NaN,0.113,Watch
2022-05-11,0.0,0.0,0.0,8.12,0.0,20.32,50.47,0.083,0.01,1.482,0.0,0.0,Elevated
2022-05-12,0.0,0.0,0.0,7.7,0.0,18.5,54.81,NaN,0.024,NaN,0.003,0.0,Elevated
2022-05-13,0.0,0.0,0.0,8.64,0.0,19.54,51.41,0.02,0.044,0.678,0.0,0.072,Normal
2022-05-14,0.0,NaN,0.0,8.95,0.0,20.23,NaN,0.026,0.01,0.454,0.0,0.0,Normal
2022-05-15,0.0,0.0,0.0,8.71,0.0,19.33,54.03,NaN,0.01,0.164,0.0,0.071,Normal
2022-05-16,0.0,0.0,0.0,9.46,0.0,19.44,53.46,0.061,0.033,0.141,0.017,0.044,Normal
2022-05-17,0.0,0.0,0.0,8.62,0.0,18.08,53.71,0.02,0.032,0.163,0.011,0.044,Normal
2022-05-18,NaN,0.0,0.0,7.48,0.0,21.01,54.58,0.02,0.042,0.195,0.09,0.092,Normal
2022-05-19,0.0,0.0,0.0,9.28,0.0,17.32,58.98,0.052,0.01,0.181,0.068,0.079,Normal
2022-05-20,0.0,0.0,0.0,7.92,0.0,19.91,57.07,NaN,0.01,NaN,0.0,0.02,Normal
2022-05-21,72.85,72.85,72.85,5.57,0.0,26.04,34.03,0.194,0.046,0.183,0.015,0.233,Watch
2022-05-22,0.0,72.85,72.85,6.12,0.0,24.37,34.54,0.144,0.01,0.183,0.0,0.152,Watch
2022-05-23,0.0,72.85,72.85,5.36,0.0,23.1,NaN,0.137,0.01,0.16,0.087,0.057,Watch
2022-05-24,0.0,0.0,72.85,4.05,1.32,22.23,43.23,0.161,0.032,0.161,0.076,0.0,Watch
2022-05-25,12.08,12.08,84.94,3.93,1.02,25.26,30.68,0.187,0.051,0.17,NaN,0.0,Watch
2022-05-26,36.97,49.05,121.91,NaN,1.08,23.78,38.12,0.302,0.066,0.226,0.03,0.155,Watch
2022-05-27,0.0,49.05,121.91,2.79,2.57,24.15,28.9,0.285,0.125,0.341,0.132,0.289,Watch
2022-05-28,0.0,36.97,49.05,6.06,NaN,22.28,44.0,0.106,0.085,0.379,NaN,0.141,Elevated
2022-05-29,0.0,0.0,NaN,6.57,0.0,24.73,40.36,0.023,NaN,0.404,0.0,0.056,Elevated
2022-05-30,NaN,0.0,49.05,6.58,0.0,22.96,NaN,0.02,0.01,0.404,0.055,0.0,Elevated
2022-05-31,0.0,0.0,NaN,6.36,0.0,20.31,50.72,0.103,0.02,0.391,0.0,0.028,Elevated
2022-06-01,0.0,0.0,36.97,6.58,0.0,20.62,45.92,0.081,0.039,0.379,0.129,0.016,Elevated
2022-06-02,0.0,0.0,0.0,8.09,0.0,18.64,51.01,0.056,0.069,0.382,0.054,0.113,Normal
2022-06-03,0.0,0.0,0.0,8.96,0.0,18.14,NaN,0.072,0.058,0.315,0.008,0.046,Normal
2022-06-04,0.0,0.0,0.0,8.78,0.0,20.6,46.06,0.023,0.078,0.308,0.0,0.0,Normal
2022-06-05,0.0,0.0,0.0,8.22,0.0,16.84,51.96,0.025,0.053,0.327,0.068,0.0,Normal
2022-06-06,33.37,33.37,33.37,7.6,0.0,23.91,42.28,NaN,NaN,0.376,0.0,NaN,Elevated
2022-06-07,41.73,75.11,75.11,4.81,0.54,25.48,36.9,0.206,0.026,0.382,0.032,0.145,Watch
2022-06-08,0.0,75.11,75.11,4.38,1.22,25.39,35.75,0.289,0.01,0.353,0.023,0.204,Watch
2022-06-09,0.0,41.73,75.11,4.5,0.68,22.51,38.78,NaN,0.042,0.327,0.05,0.107,Watch
2022-06-10,0.0,0.0,75.11,4.42,NaN,22.55,47.55,0.084,0.036,0.305,0.0,0.0,Watch
2022-06-11,NaN,0.0,75.11,NaN,NaN,20.34,43.42,0.04,0.042,0.269,0.0,0.071,Watch
2022-06-12,0.0,0.0,75.11,6.01,NaN,NaN,43.56,0.065,0.01,0.226,0.032,0.0,Watch
2022-06-13,0.0,0.0,41.73,6.06,0.0,21.62,44.39,0.102,0.026,0.193,0.044,0.0,Elevated
2022-06-14,0.0,0.0,0.0,8.56,0.0,21.11,51.06,0.068,0.076,0.243,0.115,0.057,Normal
2022-06-15,0.0,0.0,0.0,7.98,0.0,17.18,57.57,0.072,0.01,0.243,0.0,0.0,Normal
2022-06-16,49.97,49.97,NaN,5.93,0.0,21.81,47.52,0.095,0.048,0.248,0.0,0.088,Elevated
2022-06-17,NaN,NaN,61.84,4.54,0.82,22.68,34.35,0.267,0.025,0.238,0.0,0.157,Watch
2022-06-18,0.0,61.84,61.84,5.53,0.0,20.14,44.45,0.118,0.072,NaN,0.043,0.131,Watch
2022-06-19,0.0,11.87,61.84,5.61,0.0,22.89,43.92,0.099,0.01,0.267,0.06,0.156,Watch
2022-06-20,8.43,8.43,70.27,NaN,0.0,21.02,45.14,0.092,0.01,0.251,NaN,NaN,Watch
2022-06-21,0.0,8.43,70.27,5.6,0.0,21.64,42.99,0.086,0.01,0.184,0.0,0.046,Watch
2022-06-22,NaN,8.43,70.27,4.64,NaN,21.0,43.57,0.188,0.01,0.184,0.047,0.093,Watch
2022-06-23,52.52,52.52,72.82,5.89,0.0,22.29,39.04,0.122,0.05,0.186,0.028,0.253,Watch
2022-06-24,0.0,NaN,60.95,5.83,0.0,22.76,47.27,0.092,0.044,0.205,0.01,0.141,Watch
2022-06-25,4.96,NaN,65.91,5.65,0.0,22.37,45.17,0.149,0.069,NaN,NaN,0.282,Watch
2022-06-26,31.55,36.51,97.46,4.06,NaN,24.08,28.85,0.23,0.116,0.308,0.065,0.04,Watch
2022-06-27,0.0,36.51,89.03,4.09,1.01,23.03,33.29,NaN,0.067,0.365,0.021,0.207,Watch
2022-06-28,0.0,31.55,89.03,4.64,0.46,24.48,33.98,0.188,0.017,0.372,0.035,0.205,Watch
2022-06-29,0.0,0.0,NaN,4.9,0.52,26.05,37.91,0.117,0.018,0.381,0.0,0.041,Watch
2022-06-30,0.0,NaN,36.51,5.59,0.0,21.58,42.38,0.025,0.026,0.357,0.026,0.05,Elevated
2022-07-01,0.0,0.0,36.51,6.47,0.0,NaN,44.51,0.02,0.01,0.323,0.0,0.039,Elevated
2022-07-02,0.0,0.0,31.55,6.94,0.0,18.31,52.87,0.023,0.032,0.286,0.0,0.0,Elevated
2022-07-03,0.0,0.0,0.0,8.65,0.0,19.54,52.26,0.044,0.04,NaN,0.059,0.0,Normal
2022-07-04,36.99,36.99,36.99,7.55,0.0,20.25,NaN,0.157,0.022,0.166,0.005,0.1,Elevated
2022-07-05,11.92,48.91,48.91,NaN,0.0,19.99,42.42,0.167,0.033,NaN,0.0,0.219,Elevated
2022-07-06,20.99,69.9,69.9,4.96,NaN,22.22,41.71,0.218,0.066,0.23,0.0,0.272,Watch
2022-07-07,34.89,67.8,104.79,3.34,2.25,27.62,23.82,0.335,0.064,NaN,0.013,0.263,Watch
2022-07-08,0.0,55.88,104.79,3.21,2.04,26.75,26.86,0.326,0.048,0.306,0.085,0.21,Watch
2022-07-09,0.0,34.89,104.79,3.59,1.94,25.22,31.21,0.266,0.01,0.284,0.017,0.11,Watch
2022-07-10,46.07,46.07,150.86,2.24,2.89,25.4,23.48,0.454,0.457,0.7,0.315,0.442,Warning
2022-07-11,0.0,NaN,113.87,2.59,2.54,25.72,26.87,0.34,0.191,0.869,0.133,0.216,Watch
2022-07-12,0.0,46.07,101.95,4.24,0.64,25.39,32.44,0.2,0.087,0.923,0.106,0.141,Watch
2022-07-13,NaN,0.0,80.96,3.68,1.92,24.13,32.74,0.15,0.028,0.884,0.024,0.047,Watch
2022-07-14,0.0,0.0,46.07,5.98,0.0,19.41,48.37,0.061,0.059,NaN,0.071,0.133,Elevated
2022-07-15,0.0,NaN,46.07,6.21,0.0,NaN,43.13,0.097,0.036,0.867,0.0,0.023,Elevated
2022-07-16,0.0,0.0,46.07,7.67,0.0,21.45,45.38,0.03,0.055,0.913,0.045,0.119,Elevated
2022-07-17,0.0,0.0,0.0,8.32,NaN,NaN,52.88,0.02,0.081,0.537,0.0,0.081,Normal
2022-07-18,0.0,NaN,0.0,7.01,0.0,15.68,53.24,0.068,0.06,0.407,0.077,0.0,Normal
2022-07-19,0.0,0.0,0.0,7.18,0.0,NaN,57.91,0.02,0.06,0.379,0.166,0.021,Normal
2022-07-20,0.0,0.0,NaN,8.64,0.0,18.99,58.42,0.077,0.015,0.367,0.0,0.068,Normal
2022-07-21,15.14,15.14,15.14,8.34,0.0,21.18,42.68,NaN,0.014,NaN,0.081,0.047,Normal
2022-07-22,0.0,15.14,15.14,8.23,0.0,20.61,52.08,NaN,0.03,0.316,0.06,0.032,Normal
2022-07-23,0.0,15.14,15.14,8.11,0.0,20.26,48.09,0.028,0.01,0.271,0.0,0.058,Normal
2022-07-24,70.91,70.91,86.06,5.49,0.0,22.94,41.37,0.19,0.017,NaN,0.0,0.186,Watch
2022-07-25,0.0,70.91,86.06,4.37,0.96,20.69,38.18,0.332,0.013,0.16,0.034,NaN,Watch
2022-07-26,0.0,70.91,NaN,5.45,0.0,22.66,44.14,NaN,0.04,0.14,0.029,0.113,Watch
2022-07-27,0.0,0.0,86.06,3.73,1.3,24.54,36.31,0.155,0.032,0.157,0.025,0.009,Watch
2022-07-28,0.0,NaN,70.91,4.94,0.36,24.24,37.36,0.148,0.058,0.201,0.024,0.016,Watch
2022-07-29,0.0,0.0,70.91,4.36,0.85,22.81,36.65,0.132,0.01,0.181,0.0,0.037,Watch
2022-07-30,0.0,0.0,70.91,5.46,0.2,22.19,39.03,NaN,NaN,0.181,0.0,0.031,Watch
2022-07-31,0.0,0.0,0.0,8.65,0.0,19.31,53.34,0.068,0.01,0.174,0.0,0.002,Normal
2022-08-01,0.0,0.0,0.0,8.79,0.0,17.6,56.95,0.02,0.045,0.206,0.019,0.16,Normal
2022-08-02,0.0,0.0,NaN,8.76,0.0,18.31,56.81,0.02,0.05,NaN,NaN,0.073,Normal
2022-08-03,0.0,0.0,0.0,8.07,0.0,NaN,51.5,0.073,0.015,0.198,0.0,0.04,Normal
2022-08-04,0.0,0.0,0.0,8.6,0.0,16.96,53.42,0.045,0.02,0.16,0.0,NaN,Normal
2022-08-05,6.19,6.19,6.19,7.41,0.0,NaN,44.83,0.02,0.018,0.167,0.0,0.0,Normal
2022-08-06,0.0,NaN,6.19,9.44,0.0,18.14,54.84,0.029,0.01,0.167,0.044,0.073,Normal
2022-08-07,0.0,6.19,6.19,8.27,0.0,20.77,47.0,0.02,0.01,0.167,0.059,0.0,Normal
2022-08-08,11.79,11.79,17.98,7.62,0.0,17.09,51.64,0.062,0.014,0.136,0.0,0.0,Normal
2022-08-09,0.0,11.79,17.98,9.11,0.0,19.99,44.82,0.142,0.027,0.114,0.009,0.0,Normal
2022-08-10,14.31,26.1,NaN,6.5,0.0,18.6,49.58,0.119,0.01,0.109,0.021,0.114,Elevated
2022-08-11,0.0,14.31,32.29,6.63,0.0,17.26,49.01,0.153,0.023,NaN,0.0,0.087,Elevated
2022-08-12,6.84,21.15,32.94,6.62,NaN,19.89,50.34,0.116,0.039,0.133,0.047,0.102,Elevated
2022-08-13,27.34,34.18,60.28,NaN,0.0,22.84,44.29,0.153,0.063,0.186,0.122,0.159,Watch
2022-08-14,0.0,34.18,60.28,6.5,0.0,19.56,NaN,0.186,0.01,0.186,0.055,0.027,Watch
2022-08-15,0.0,27.34,48.49,7.26,0.0,17.73,48.89,0.115,0.015,0.186,0.048,0.076,Elevated
2022-08-16,6.65,6.65,55.14,8.25,0.0,20.33,43.27,0.075,0.031,0.19,0.108,0.174,Elevated
