Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Extreme Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Historical Shoreline Change Rate (m/yr),Sediment Budget Balance (m3/m/yr),Vegetation Cover (%),Relative Sea-Level Rise (mm/yr),Coastal Erosion Risk Class
2.12,8.99,3.81,1.12,28.38,0.0454,NaN,2.92,0.0325,-0.46,2.61,15.8,NaN,Moderate Susceptibility
0.91,7.9,3.92,1.12,61.44,0.0367,0.318,4.92,0.0203,-1.28,NaN,13.5,NaN,Low Susceptibility
0.89,7.92,0.36,0.95,67.0,0.0239,0.3,4.14,0.0203,0.94,7.79,28.8,4.74,Stable or Accreting
0.72,NaN,1.87,0.72,78.02,0.0288,0.28,6.41,NaN,-0.26,0.98,30.9,4.19,Low Susceptibility
1.28,8.58,4.28,1.11,44.0,0.0258,0.395,3.03,0.0309,-0.8,2.97,19.1,6.13,Moderate Susceptibility
1.05,8.71,2.06,1.13,86.5,0.0306,0.339,10.45,0.0269,0.17,-1.96,71.3,4.31,Low Susceptibility
1.86,7.86,1.84,1.41,60.62,0.0427,0.554,6.86,0.0241,0.8,7.53,NaN,1.37,Stable or Accreting
NaN,10.43,0.92,1.8,16.18,0.0247,0.302,1.77,0.0218,-1.27,-1.89,2.9,5.74,High Susceptibility
1.79,8.32,1.07,0.96,64.07,0.0177,0.212,5.43,0.0148,-0.08,1.59,32.6,5.98,Low Susceptibility
1.8,9.77,3.61,1.58,95.24,0.027,0.203,8.13,0.0101,-0.05,5.28,55.4,7.25,Low Susceptibility
0.41,6.94,0.74,0.96,NaN,0.0266,0.395,7.89,0.0253,0.86,2.09,75.9,5.44,Stable or Accreting
1.71,7.13,1.74,1.6,95.89,0.0365,0.227,6.67,0.0183,2.6,15.11,19.8,2.5,Stable or Accreting
NaN,10.96,1.36,1.58,40.18,0.0542,0.569,6.26,0.0424,-2.71,-7.29,0.0,5.19,Moderate Susceptibility
1.84,9.45,0.7,1.05,63.09,0.0407,0.525,6.27,0.0293,0.23,9.07,37.9,2.21,Stable or Accreting
2.34,11.81,0.64,1.69,48.73,0.0349,0.546,5.34,0.0266,-2.46,-11.15,16.6,NaN,High Susceptibility
2.69,9.83,0.7,1.25,36.63,0.0283,0.3,6.45,0.0204,-4.05,-21.37,0.0,1.15,Moderate Susceptibility
1.96,13.45,1.34,1.4,43.3,0.0313,0.383,2.79,0.0229,-1.28,2.3,24.9,6.98,High Susceptibility
NaN,NaN,4.5,1.78,101.09,0.0406,0.643,9.6,0.0339,0.03,-2.74,69.8,3.3,Low Susceptibility
2.14,9.98,4.53,0.55,48.8,0.0235,0.281,5.0,0.0206,-1.77,-9.18,31.9,4.27,Moderate Susceptibility
NaN,NaN,4.75,0.92,10.12,0.0319,0.266,2.46,NaN,-0.59,0.85,26.0,3.55,High Susceptibility
2.88,14.96,0.32,1.5,NaN,0.0266,0.416,6.82,0.0316,-1.38,-0.01,27.1,6.24,Moderate Susceptibility
3.44,17.34,0.91,1.34,64.72,0.0462,NaN,7.39,0.0355,-1.63,-11.8,28.7,2.01,Moderate Susceptibility
NaN,10.35,1.52,2.05,101.27,0.036,0.455,7.92,0.0301,1.89,10.39,55.6,6.67,Stable or Accreting
2.5,13.37,4.59,1.03,52.43,0.0266,0.369,4.49,0.0214,-2.41,-11.66,12.0,3.89,High Susceptibility
3.38,12.95,0.3,2.37,48.99,0.044,0.654,4.09,0.0378,-4.58,-19.86,0.0,5.43,High Susceptibility
1.47,7.23,1.05,NaN,92.33,0.0237,0.202,7.05,0.0109,1.37,6.26,41.0,3.93,Stable or Accreting
2.55,12.16,1.89,1.47,49.7,0.0723,1.336,6.81,0.0553,-0.67,-2.52,3.5,3.04,Low Susceptibility
2.73,12.27,0.45,1.56,73.02,NaN,0.564,7.34,0.0307,-0.98,-1.03,30.4,3.43,Low Susceptibility
1.93,10.97,0.8,1.37,55.01,NaN,1.091,3.72,0.0556,-1.56,-3.52,30.3,5.97,High Susceptibility
2.57,11.77,3.41,NaN,81.94,0.0253,0.218,6.95,0.027,0.47,3.99,50.5,4.75,Low Susceptibility
1.22,7.47,1.61,0.77,NaN,NaN,0.189,5.07,0.0119,1.94,11.9,59.5,3.92,Stable or Accreting
2.74,13.37,0.89,1.47,62.93,0.0374,0.351,6.65,0.0303,NaN,-7.74,43.8,7.21,Moderate Susceptibility
2.33,NaN,0.44,NaN,39.11,0.0395,0.778,2.29,0.039,-1.74,0.57,0.0,3.53,High Susceptibility
3.13,11.3,0.38,NaN,81.57,0.0292,0.354,9.73,0.0244,0.01,-0.16,81.7,2.82,Low Susceptibility
1.7,9.92,0.52,1.55,23.96,0.0352,0.712,1.59,0.0327,-2.01,-4.66,1.2,7.65,Critical Erosion Hotspot
1.94,NaN,3.95,0.96,38.69,0.0561,0.81,4.94,0.0303,0.52,8.55,38.5,2.7,Low Susceptibility
1.84,9.12,1.27,1.22,58.46,0.0662,0.979,8.7,0.0479,-0.25,-3.1,52.2,2.7,Low Susceptibility
1.52,9.59,4.11,0.6,61.76,0.0254,0.658,6.02,0.0333,1.15,7.13,33.5,3.46,Low Susceptibility
2.09,10.87,0.69,1.69,92.27,0.0348,0.387,9.46,0.023,1.4,10.11,47.5,3.39,Stable or Accreting
2.56,12.21,0.46,1.8,48.89,0.0204,0.177,4.14,0.0167,-1.64,-7.85,20.5,3.27,Moderate Susceptibility
1.68,10.22,4.26,1.38,84.22,NaN,0.439,7.72,0.0363,0.39,8.99,35.1,4.28,Low Susceptibility
1.8,8.65,0.95,2.0,19.18,0.025,0.299,1.89,0.0175,-1.34,-4.48,NaN,6.11,Critical Erosion Hotspot
1.88,9.33,0.26,NaN,18.99,0.026,0.466,3.13,0.0219,-3.26,-17.73,0.0,5.26,High Susceptibility
0.84,7.59,3.69,1.18,87.45,0.0232,0.207,7.18,0.0225,-0.3,NaN,52.4,6.09,Low Susceptibility
1.19,6.97,1.15,1.33,110.89,0.0323,0.473,NaN,0.0283,2.71,8.49,81.1,3.06,Stable or Accreting
0.91,7.32,0.79,0.91,123.78,0.0256,0.574,9.12,0.0308,2.32,10.69,53.1,2.4,Stable or Accreting
2.44,9.7,3.38,1.38,40.51,0.031,0.398,4.69,0.0213,0.53,4.29,7.9,2.97,Moderate Susceptibility
1.46,8.7,2.2,1.13,91.22,0.0273,0.444,8.83,0.019,-0.61,-3.96,52.9,4.52,Low Susceptibility
2.33,10.8,2.8,1.37,50.9,0.0468,0.53,5.28,0.0347,-0.2,4.93,35.8,2.61,Low Susceptibility
2.35,10.36,2.86,1.25,54.47,0.0255,0.304,5.99,0.0201,-1.9,-5.37,20.0,3.5,Moderate Susceptibility
0.74,9.02,NaN,0.99,100.66,0.0302,0.339,6.13,0.0226,2.83,16.54,66.0,6.02,Stable or Accreting
1.0,7.76,0.33,1.36,10.64,0.0265,0.429,1.18,0.0296,-2.54,-15.05,NaN,4.73,Critical Erosion Hotspot
1.85,9.7,0.27,1.41,105.01,0.0402,0.391,9.24,0.021,2.03,7.54,48.4,4.31,Stable or Accreting
NaN,10.91,4.28,1.09,69.71,0.0302,0.12,4.66,0.0091,-0.17,-1.31,51.2,3.92,Low Susceptibility
1.26,8.96,4.48,NaN,89.24,NaN,0.199,7.98,0.0187,-0.71,-8.78,64.0,NaN,Low Susceptibility
2.31,10.72,0.98,1.89,64.33,0.0546,0.902,6.51,0.0444,-1.19,-0.54,19.7,4.66,Moderate Susceptibility
NaN,NaN,0.92,1.81,93.22,0.0313,0.605,6.64,0.0337,1.81,8.81,69.8,7.21,Low Susceptibility
2.19,10.36,1.62,1.28,79.22,0.0751,0.916,7.93,0.0543,1.72,10.0,49.1,1.48,Stable or Accreting
1.14,9.34,0.2,1.09,83.14,0.015,0.226,7.18,0.0149,1.36,10.02,38.9,4.2,Stable or Accreting
1.13,7.55,1.88,1.24,127.51,0.0517,0.776,8.66,0.029,3.6,19.26,60.1,5.12,Stable or Accreting
1.14,7.48,3.54,1.13,39.68,0.0287,0.311,3.65,0.019,-3.16,NaN,0.0,7.93,High Susceptibility
2.27,11.4,3.14,1.89,69.28,0.0306,0.22,6.27,0.0157,-2.43,-12.51,28.7,7.09,High Susceptibility
3.29,13.95,NaN,1.94,40.68,0.0397,0.416,4.72,0.0351,-3.17,-11.99,NaN,2.52,High Susceptibility
2.04,8.7,NaN,1.8,87.26,0.0189,0.17,7.97,0.021,0.83,3.48,57.1,5.75,Stable or Accreting
3.31,14.65,0.85,1.62,36.11,0.0344,0.46,4.42,0.0332,-2.09,-4.33,7.3,3.62,Moderate Susceptibility
2.62,13.49,1.99,1.39,101.28,0.0693,0.937,10.57,0.0548,-0.62,-0.25,50.8,NaN,Low Susceptibility
2.93,13.16,0.55,2.29,8.0,0.0234,0.124,0.8,0.011,-3.9,NaN,0.0,9.18,Critical Erosion Hotspot
2.32,11.19,0.42,1.68,11.17,0.0292,0.22,1.7,0.0236,-3.76,NaN,0.0,NaN,Critical Erosion Hotspot
3.23,14.88,0.75,1.79,66.03,0.0808,1.205,7.86,0.0529,-0.21,-3.82,37.3,1.44,Low Susceptibility
1.82,12.17,1.46,1.4,38.95,0.0585,0.936,3.13,0.0467,-3.02,-13.76,13.1,7.48,High Susceptibility
1.47,8.24,3.29,1.51,104.77,0.0374,0.561,8.31,0.022,0.27,NaN,NaN,5.97,Stable or Accreting
1.93,10.11,0.52,NaN,25.36,0.0472,0.831,2.9,0.0388,0.3,6.62,14.6,4.98,Moderate Susceptibility
3.09,10.0,0.41,2.16,18.54,0.0244,0.172,1.55,0.0109,-2.51,-7.99,0.0,7.8,Critical Erosion Hotspot
1.03,7.58,NaN,0.15,82.91,0.0485,0.83,6.23,0.0365,-0.55,-0.04,36.4,2.54,Low Susceptibility
0.72,8.08,3.41,0.73,71.37,0.0259,0.284,8.0,0.014,-0.87,-8.07,26.4,2.86,Low Susceptibility
2.91,13.47,3.51,1.85,38.37,0.0305,0.227,2.06,0.022,-1.89,-2.36,0.0,7.88,Critical Erosion Hotspot
3.29,NaN,0.69,2.52,76.38,0.0424,0.495,8.37,0.038,-4.3,NaN,15.7,7.61,High Susceptibility
NaN,10.45,NaN,1.03,17.49,0.0444,0.454,3.88,0.0383,-0.58,-1.3,15.2,NaN,Moderate Susceptibility
2.11,13.56,2.17,1.56,66.01,0.069,NaN,6.57,0.0571,1.03,11.22,44.4,4.04,Low Susceptibility
1.13,8.85,4.91,0.73,NaN,0.0386,0.724,5.56,0.0322,1.23,12.26,47.6,4.86,Stable or Accreting
1.93,10.45,0.39,1.56,10.24,0.0232,0.241,NaN,0.0184,-3.74,-11.92,0.0,9.04,Critical Erosion Hotspot
1.84,11.33,0.71,1.32,58.08,0.0488,1.089,6.01,NaN,-0.75,-2.77,23.7,2.76,Low Susceptibility
1.08,NaN,0.76,1.11,54.47,0.0419,0.63,5.99,0.032,-2.28,-4.56,7.5,4.1,Moderate Susceptibility
3.15,13.66,0.36,1.77,48.2,NaN,0.222,4.8,0.0293,-1.68,-10.06,6.8,NaN,High Susceptibility
2.92,12.37,0.88,1.67,81.08,0.055,0.997,9.12,0.0416,0.19,-3.74,37.2,NaN,Low Susceptibility
2.34,11.12,1.91,1.83,65.92,0.0419,0.705,5.75,0.0392,2.11,14.91,49.0,4.83,Low Susceptibility
NaN,13.8,NaN,NaN,26.99,0.056,0.833,3.39,0.0372,-3.61,-16.11,0.0,6.18,High Susceptibility
2.18,NaN,1.86,1.51,87.45,0.0319,0.305,5.55,0.023,-0.35,0.83,38.3,6.16,Low Susceptibility
2.83,11.22,0.67,1.76,17.62,0.0401,0.133,1.28,0.0235,-2.46,-6.63,0.0,7.41,Critical Erosion Hotspot
2.55,11.12,0.82,1.26,75.26,0.0787,1.424,6.5,0.0604,1.03,4.37,48.3,4.39,Low Susceptibility
1.43,10.62,1.74,0.9,84.37,0.0244,NaN,5.93,0.0218,-0.41,-1.39,47.0,NaN,Low Susceptibility
2.4,11.28,0.23,1.38,65.23,0.0287,0.499,6.71,0.0263,1.76,6.36,35.7,3.76,Low Susceptibility
2.04,9.83,3.6,1.52,59.61,0.0187,0.33,4.44,0.0208,-1.87,-2.64,27.7,7.81,Moderate Susceptibility
2.47,14.96,0.89,1.5,32.88,0.0271,0.345,2.6,0.021,-1.73,NaN,0.0,3.81,High Susceptibility
1.1,5.87,NaN,0.89,86.05,0.0287,0.299,8.6,0.0271,NaN,NaN,56.0,6.67,Low Susceptibility
2.47,12.03,0.39,1.68,66.74,0.0403,0.565,5.61,0.0301,NaN,-15.96,23.1,5.8,Moderate Susceptibility
2.58,9.72,4.56,2.38,60.38,0.0424,0.495,3.02,0.0289,-1.11,1.67,NaN,6.58,High Susceptibility
0.82,6.85,0.78,1.48,77.47,0.015,0.369,4.67,0.0217,-1.24,-4.81,18.7,7.95,Moderate Susceptibility
1.99,NaN,0.29,1.13,58.22,0.0332,0.508,4.33,0.0216,-1.53,-3.75,28.4,5.16,Moderate Susceptibility
2.69,12.38,1.51,2.04,33.3,0.0406,0.257,2.73,0.033,-1.01,-1.73,3.5,3.85,High Susceptibility
0.66,4.53,0.89,0.98,109.52,0.015,0.19,6.38,0.0107,2.56,13.05,58.3,4.44,Stable or Accreting
NaN,11.03,1.23,1.38,81.76,0.019,0.146,4.07,0.0203,2.59,15.29,41.5,5.83,Low Susceptibility
2.32,13.27,1.02,1.72,84.0,NaN,NaN,6.75,0.0583,0.71,14.79,59.9,4.76,Low Susceptibility
NaN,13.33,1.16,1.92,38.43,0.0367,0.546,3.69,0.0324,NaN,2.7,4.9,5.98,High Susceptibility
0.76,7.77,0.45,0.08,117.22,0.0257,0.148,8.6,0.0106,2.54,18.9,70.9,NaN,Stable or Accreting
NaN,11.36,4.49,1.33,60.26,0.0223,0.169,2.77,0.0173,0.02,NaN,21.5,6.01,Moderate Susceptibility
1.96,14.26,4.12,0.98,96.29,0.0339,0.518,8.21,0.0285,2.27,NaN,59.9,3.89,Stable or Accreting
1.0,9.39,4.39,0.59,NaN,0.0401,0.629,5.73,0.0237,-0.49,-2.87,53.0,6.19,Low Susceptibility
1.44,8.52,0.2,1.52,36.56,0.0383,0.303,3.26,0.0174,-3.24,-12.96,5.0,8.37,High Susceptibility
3.18,12.72,0.76,1.69,70.13,0.0273,0.268,6.87,0.0145,-1.96,-7.42,44.0,4.31,Moderate Susceptibility
2.62,11.0,5.53,1.48,66.57,0.0195,0.12,7.51,0.0205,-1.08,3.42,36.2,2.45,Low Susceptibility
1.72,9.67,2.83,1.21,98.01,0.0331,0.217,9.53,0.0227,-2.36,-12.63,56.2,6.49,Low Susceptibility
2.83,13.18,1.43,1.28,80.62,0.0726,1.192,8.65,0.0588,0.96,10.27,33.1,2.67,Low Susceptibility
NaN,8.82,0.49,1.23,20.64,0.0267,0.12,1.0,0.0166,-3.51,-8.68,NaN,6.92,Critical Erosion Hotspot
2.11,11.05,0.98,NaN,64.76,0.0519,0.662,4.52,0.0305,NaN,2.26,NaN,6.27,Moderate Susceptibility
0.55,NaN,4.96,0.38,54.89,0.0255,0.6,3.12,0.0285,1.12,10.86,25.0,3.99,Moderate Susceptibility
NaN,12.02,0.65,1.67,23.94,0.0373,0.744,2.54,NaN,-2.29,-11.05,7.3,NaN,High Susceptibility
1.72,9.05,0.37,1.77,21.4,0.0192,0.12,2.51,0.0119,-2.5,-11.04,0.0,7.48,High Susceptibility
0.7,4.5,0.84,1.12,94.74,0.0328,0.663,7.4,0.0276,1.39,7.02,53.5,6.93,Stable or Accreting
0.66,7.97,0.2,1.46,38.7,0.0193,0.127,1.65,0.0067,-3.28,-7.3,0.0,8.48,Critical Erosion Hotspot
1.47,10.85,NaN,1.23,20.96,0.0267,0.139,2.57,0.0167,-3.07,-14.4,0.0,8.22,High Susceptibility
0.8,6.71,1.25,0.9,NaN,NaN,0.413,0.93,0.0252,-0.97,-1.16,0.0,5.69,High Susceptibility
2.52,11.75,5.07,1.56,54.48,0.0306,0.376,4.46,0.0278,0.39,5.74,NaN,4.8,Moderate Susceptibility
0.98,6.03,3.42,NaN,48.75,0.0302,0.389,3.81,0.0242,0.51,1.72,22.8,3.05,Low Susceptibility
2.63,11.78,4.46,1.88,83.77,0.0308,0.408,7.23,0.0277,0.97,5.79,48.9,NaN,Low Susceptibility
0.78,8.58,0.4,NaN,92.59,0.0314,0.529,9.18,0.023,2.07,10.06,56.0,3.42,Stable or Accreting
0.39,8.21,1.32,0.73,123.65,0.0269,NaN,10.42,0.025,3.18,13.59,74.8,4.7,Stable or Accreting
0.64,6.4,4.41,0.64,71.83,0.016,0.251,5.56,0.0225,-1.01,-3.58,38.0,3.5,Low Susceptibility
3.62,NaN,0.66,NaN,32.35,0.0365,0.188,4.35,0.0266,-2.99,-14.3,0.0,3.9,High Susceptibility
2.96,11.27,0.45,2.0,28.34,0.0339,0.63,3.04,NaN,-4.05,-14.15,0.0,7.12,Critical Erosion Hotspot
2.86,NaN,NaN,1.51,48.01,0.0378,0.529,3.81,0.0305,-1.03,-0.84,29.7,3.15,Moderate Susceptibility
2.77,12.59,0.2,2.04,8.0,0.0421,0.565,0.83,0.0275,-1.32,-0.93,0.0,5.0,Critical Erosion Hotspot
3.15,13.81,1.16,NaN,24.62,0.0301,NaN,3.56,0.0265,-0.85,6.19,0.0,4.94,Moderate Susceptibility
2.76,12.68,0.85,1.98,28.46,0.0419,0.695,3.21,0.0373,-4.27,NaN,0.0,6.23,Critical Erosion Hotspot
1.15,9.08,0.88,0.65,78.54,0.0317,0.589,7.71,0.0232,-1.25,-4.93,27.1,4.38,Low Susceptibility
2.13,9.04,0.34,1.27,8.0,0.0246,0.228,0.8,0.0203,-2.74,-10.32,0.0,4.63,Critical Erosion Hotspot
NaN,13.19,NaN,1.14,54.33,0.0331,0.354,5.92,0.0217,0.83,10.11,37.8,2.52,Low Susceptibility
1.37,11.61,0.31,NaN,21.61,0.015,0.15,1.86,0.0079,-2.15,-9.3,9.3,7.34,High Susceptibility
0.86,7.61,0.92,0.89,81.29,0.0333,0.426,6.52,0.0271,1.41,3.79,56.2,3.21,Stable or Accreting
2.19,11.41,0.2,2.11,50.42,0.0212,0.12,3.79,0.0198,-1.74,-5.74,NaN,7.85,High Susceptibility
2.97,11.5,0.48,1.89,19.52,0.0332,0.655,NaN,NaN,-0.15,NaN,16.0,4.58,Moderate Susceptibility
2.75,12.92,0.2,2.17,90.63,0.0402,0.634,7.28,0.0294,0.15,3.7,51.6,6.55,Low Susceptibility
2.24,NaN,3.3,1.47,53.21,0.0373,0.329,4.82,0.0209,-1.76,-3.78,NaN,3.92,Moderate Susceptibility
2.88,13.81,0.41,NaN,8.0,0.0446,0.286,1.04,0.0212,-4.06,-14.16,0.0,6.67,Critical Erosion Hotspot
1.44,6.27,4.47,1.1,NaN,0.0228,0.23,4.01,0.0238,-2.19,-11.29,9.7,2.52,Moderate Susceptibility
1.15,9.67,1.43,0.63,62.68,0.0367,0.603,3.9,0.0319,1.87,10.99,30.9,3.33,Low Susceptibility
1.1,9.51,1.46,0.9,89.17,0.0312,0.704,7.97,0.0249,1.7,NaN,65.6,4.74,Stable or Accreting
1.42,7.57,3.83,0.55,42.53,NaN,0.234,4.08,0.017,-0.97,-4.11,26.6,2.6,Low Susceptibility
1.52,10.83,0.95,1.46,62.6,NaN,0.769,5.94,0.0294,-2.74,-17.01,17.9,3.87,Moderate Susceptibility
0.66,6.09,4.5,NaN,79.91,0.0274,0.467,7.17,0.0278,-0.43,-1.92,50.4,2.25,Low Susceptibility
0.96,7.67,3.96,0.78,83.96,0.018,0.12,7.2,0.0055,NaN,12.12,38.0,2.0,Stable or Accreting
2.06,9.42,0.89,1.41,70.22,0.0406,0.604,4.05,0.0262,-0.15,4.21,20.0,6.23,Moderate Susceptibility
NaN,8.91,0.72,1.62,17.91,0.0271,0.236,3.81,0.0143,-2.43,-6.52,12.1,4.04,Moderate Susceptibility
2.17,11.21,1.29,1.73,60.3,0.041,0.486,7.69,0.0307,-2.72,-8.85,NaN,5.51,Moderate Susceptibility
2.47,13.15,3.66,1.88,31.73,0.0296,0.291,2.31,0.0158,-1.59,0.69,3.9,6.95,Critical Erosion Hotspot
1.12,7.93,4.84,0.68,49.35,0.0294,0.317,NaN,0.0234,0.13,1.3,22.1,5.05,Moderate Susceptibility
1.1,9.37,4.95,0.79,64.79,NaN,0.247,3.13,0.021,0.03,5.6,28.3,5.19,Moderate Susceptibility
1.91,12.48,0.88,1.21,50.23,0.0234,0.386,4.0,0.0267,-1.75,-6.32,13.6,7.01,High Susceptibility
1.24,NaN,1.45,0.95,91.0,NaN,0.717,8.5,0.038,1.48,6.77,46.6,1.29,Stable or Accreting
2.42,NaN,0.24,1.95,30.43,0.0313,0.454,3.25,NaN,-3.54,-14.97,0.0,5.99,High Susceptibility
2.26,12.39,0.6,1.25,41.17,0.0248,0.32,2.8,0.0248,-1.43,-3.72,8.2,6.14,High Susceptibility
1.1,7.58,0.36,1.25,80.38,0.051,0.876,8.53,0.037,-0.32,-8.43,47.4,2.58,Low Susceptibility
2.66,9.74,NaN,2.28,29.49,0.0263,0.199,3.87,0.0111,-4.29,-21.13,0.0,9.53,Critical Erosion Hotspot
3.25,11.75,1.01,1.53,39.65,0.0407,NaN,4.51,0.0299,-1.12,-4.08,10.4,2.26,Moderate Susceptibility
2.78,9.64,4.37,1.92,54.07,0.0329,0.612,6.68,0.0271,-2.65,-15.3,23.6,6.16,Moderate Susceptibility
2.13,10.88,4.75,1.77,57.41,0.0371,0.55,6.04,0.0294,1.12,5.32,33.6,4.17,Moderate Susceptibility
1.44,8.35,0.4,1.67,57.15,0.0491,0.569,6.1,0.0357,-2.92,NaN,13.4,6.04,Moderate Susceptibility
2.08,11.18,3.3,1.83,66.65,0.0435,0.623,NaN,0.0276,-2.24,-10.64,17.0,NaN,Moderate Susceptibility
NaN,10.39,0.21,1.88,8.0,0.0283,NaN,0.8,0.0099,-4.06,-18.43,0.0,9.34,Critical Erosion Hotspot
2.41,9.91,3.66,1.51,94.34,0.0201,NaN,7.8,0.0183,-0.65,-2.26,66.6,4.3,Low Susceptibility
2.38,NaN,0.31,1.83,8.0,0.0255,NaN,3.09,0.0179,-4.32,-19.76,0.0,7.16,Critical Erosion Hotspot
NaN,13.16,2.9,1.67,73.2,0.0543,0.655,6.3,0.0396,3.03,10.44,44.6,3.26,Low Susceptibility
1.98,10.75,1.58,0.8,57.62,0.0526,0.72,6.87,0.0468,-1.18,NaN,35.2,3.2,Moderate Susceptibility
2.44,11.69,1.26,1.19,28.48,0.0317,0.563,2.12,0.0429,0.14,9.22,12.5,3.26,Moderate Susceptibility
2.96,12.59,0.49,1.52,NaN,0.0326,0.342,6.17,NaN,NaN,4.66,35.4,3.89,Low Susceptibility
1.75,9.81,1.01,1.08,80.94,0.0434,0.694,8.76,0.0379,1.08,3.57,49.3,0.8,Stable or Accreting
3.59,10.99,3.28,1.52,82.09,0.0487,0.534,8.87,0.0312,-0.29,-5.42,NaN,3.84,Low Susceptibility
3.24,14.73,2.48,2.36,42.43,0.0672,1.015,7.52,0.0553,-3.87,-16.43,1.8,5.6,High Susceptibility
2.46,NaN,0.72,1.76,47.63,0.0369,NaN,4.76,0.0355,NaN,3.21,37.3,1.66,Moderate Susceptibility
1.92,10.44,3.59,1.03,77.61,0.0329,NaN,6.27,0.018,-1.13,-3.13,31.7,2.06,Low Susceptibility
0.81,8.06,1.77,NaN,100.37,NaN,0.243,6.15,0.0158,3.6,22.0,30.1,5.76,Low Susceptibility
2.44,12.27,0.68,1.63,74.69,0.0292,0.415,7.19,0.0292,-0.42,5.45,33.7,2.47,Low Susceptibility
1.96,10.33,0.2,2.83,8.0,0.0272,0.173,0.8,0.0101,-2.27,-6.74,0.0,9.21,Critical Erosion Hotspot
2.39,10.78,0.23,2.04,29.08,0.0233,0.348,3.68,0.0265,-4.71,-21.98,0.0,8.88,Critical Erosion Hotspot
1.8,10.81,1.26,0.86,62.44,0.0334,0.468,5.46,0.0245,0.97,0.27,26.4,4.09,Low Susceptibility
1.4,8.03,NaN,1.5,23.72,0.0211,0.397,2.92,0.03,-2.63,-8.26,0.0,6.62,High Susceptibility
2.72,11.19,0.26,2.19,8.0,0.0409,0.434,0.8,0.032,-4.92,-17.77,0.0,NaN,Critical Erosion Hotspot
1.24,10.23,2.79,1.16,93.45,0.0351,0.423,7.8,0.0286,2.87,18.78,47.5,2.78,Stable or Accreting
NaN,NaN,NaN,NaN,99.1,0.0194,0.169,8.6,0.0134,2.34,6.83,49.2,2.71,Stable or Accreting
2.32,11.22,NaN,1.29,32.5,0.0439,0.65,4.32,0.0293,NaN,-0.67,0.0,3.5,High Susceptibility
1.26,10.39,0.73,1.2,61.6,NaN,0.486,5.28,0.0329,0.74,6.83,37.0,4.63,Low Susceptibility
1.96,8.48,NaN,0.85,57.4,0.023,0.211,4.86,0.0192,-1.08,-9.29,20.1,5.52,Moderate Susceptibility
1.34,7.53,1.48,1.05,98.9,NaN,0.305,7.44,0.0262,0.95,NaN,51.5,3.4,Stable or Accreting
1.66,10.38,4.31,1.03,NaN,0.0325,0.426,7.06,0.0195,-0.95,-3.63,46.3,4.15,Low Susceptibility
NaN,NaN,0.2,1.86,8.0,0.015,0.171,NaN,0.0135,-3.28,-20.2,NaN,6.75,Critical Erosion Hotspot
1.59,7.99,1.32,1.33,98.92,0.0378,0.584,7.85,0.0313,-1.28,NaN,35.6,5.99,Low Susceptibility
0.91,7.63,0.53,1.35,8.0,0.0206,0.24,0.88,0.0255,NaN,-1.96,1.6,6.85,Critical Erosion Hotspot
NaN,12.99,2.41,1.8,48.22,0.0745,0.738,6.74,0.044,1.57,7.46,35.9,NaN,Moderate Susceptibility
