Building_Scenario_ID,Days_After_Event,Structural_System,Occupancy_Type,Number_of_Stories,Construction_Year,Seismic_Design_Level,Site_Class,Retrofit_Level,Peak_Ground_Acceleration_g,Spectral_Acceleration_1p0s_g,Initial_Residual_Drift_Ratio_pct,Safety_Inspection_Completion_pct,Utility_Availability_pct,Structural_Repair_Completion_pct,Nonstructural_Repair_Completion_pct,Operability_Class
B003,60,RC_Moment_Frame,Retail,NaN,2006.0,High_Code,D,No_Retrofit,0.224,0.43,0.066,100.0,100.0,30.4,76.2,Functional_Recovery
B003,90,RC_Moment_Frame,Retail,13.0,2006.0,High_Code,D,No_Retrofit,0.224,0.43,0.066,95.6,97.6,55.2,NaN,Functional_Recovery
B003,120,RC_Moment_Frame,Retail,13.0,2006.0,High_Code,D,No_Retrofit,0.224,NaN,0.066,93.6,99.3,79.5,97.9,Functional_Recovery
B003,180,RC_Moment_Frame,Retail,13.0,2006.0,High_Code,D,No_Retrofit,0.224,0.43,0.066,94.7,NaN,100.0,95.5,Full_Recovery
B003,240,RC_Moment_Frame,Retail,NaN,2006.0,High_Code,D,No_Retrofit,0.224,0.43,0.066,100.0,95.3,98.8,100.0,Full_Recovery
B003,365,NaN,Retail,13.0,2006.0,NaN,D,No_Retrofit,0.224,0.43,0.066,99.3,100.0,100.0,98.7,Full_Recovery
B004,0,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,7.7,19.2,0.0,NaN,Unsafe_Closed
B004,1,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,5.1,16.0,4.6,3.1,Unsafe_Closed
B004,3,Steel_Moment_Frame,Residential,NaN,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,6.7,32.9,NaN,1.3,Unsafe_Closed
B004,7,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,NaN,38.3,1.3,2.4,Unsafe_Closed
B004,14,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,42.4,69.2,7.4,0.0,Restricted_Access
B004,30,Steel_Moment_Frame,NaN,5.0,1967.0,Low_Code,D,No_Retrofit,NaN,0.805,0.278,97.6,84.8,1.9,NaN,Reoccupancy
B004,60,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,100.0,100.0,10.0,10.3,Reoccupancy
B004,90,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,NaN,0.805,NaN,100.0,97.0,10.5,NaN,Reoccupancy
B004,120,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,100.0,100.0,17.3,40.4,Reoccupancy
B004,180,Steel_Moment_Frame,NaN,5.0,1967.0,NaN,D,No_Retrofit,0.62,0.805,0.278,96.5,97.9,31.2,81.7,Functional_Recovery
B004,240,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,100.0,95.1,47.5,97.2,Functional_Recovery
B004,365,Steel_Moment_Frame,Residential,5.0,1967.0,Low_Code,D,No_Retrofit,0.62,0.805,0.278,93.1,100.0,88.9,100.0,Functional_Recovery
B005,0,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,D,No_Retrofit,0.291,0.32,0.148,5.9,38.5,1.4,6.7,Unsafe_Closed
B005,1,Unreinforced_Masonry,Residential,2.0,1973.0,NaN,D,No_Retrofit,0.291,0.32,0.148,4.9,51.2,1.9,6.2,Unsafe_Closed
B005,3,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,D,No_Retrofit,0.291,0.32,0.148,10.4,66.0,1.3,0.0,Restricted_Access
B005,7,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,D,No_Retrofit,0.291,0.32,0.148,31.1,75.3,0.0,0.0,Restricted_Access
B005,14,Unreinforced_Masonry,Residential,2.0,1973.0,NaN,D,No_Retrofit,0.291,0.32,0.148,88.1,86.5,3.3,0.0,Restricted_Access
B005,30,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,D,No_Retrofit,0.291,0.32,0.148,98.6,98.3,5.8,6.9,Reoccupancy
B005,60,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,D,No_Retrofit,0.291,0.32,0.148,100.0,97.0,6.8,24.7,Reoccupancy
B005,90,Unreinforced_Masonry,Residential,2.0,NaN,Low_Code,D,No_Retrofit,0.291,0.32,0.148,100.0,98.9,13.9,62.2,Reoccupancy
B005,120,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,NaN,No_Retrofit,0.291,0.32,0.148,95.6,90.7,23.7,89.6,Functional_Recovery
B005,180,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,D,No_Retrofit,0.291,NaN,NaN,100.0,100.0,60.0,100.0,Functional_Recovery
B005,240,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,D,NaN,0.291,0.32,0.148,98.2,94.1,84.1,98.7,Functional_Recovery
B005,365,Unreinforced_Masonry,Residential,2.0,1973.0,Low_Code,D,No_Retrofit,0.291,0.32,0.148,95.9,100.0,96.2,100.0,Full_Recovery
B006,0,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,4.1,47.1,2.8,8.3,Unsafe_Closed
B006,1,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,5.0,57.0,0.0,2.7,Unsafe_Closed
B006,3,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,7.6,NaN,0.0,0.0,Unsafe_Closed
B006,7,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,NaN,45.4,78.6,NaN,3.4,Restricted_Access
B006,14,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,94.0,89.7,2.4,7.0,Reoccupancy
B006,30,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,100.0,98.4,11.1,8.4,Reoccupancy
B006,60,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,99.5,96.8,23.8,31.2,Reoccupancy
B006,90,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,100.0,98.8,54.9,74.3,Functional_Recovery
B006,120,Steel_Moment_Frame,Residential,5.0,NaN,High_Code,D,Partial_Retrofit,0.345,0.487,NaN,99.0,92.0,77.6,99.5,Functional_Recovery
B006,180,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,95.5,88.1,97.0,100.0,Functional_Recovery
B006,240,Steel_Moment_Frame,Residential,5.0,2017.0,NaN,D,Partial_Retrofit,0.345,NaN,NaN,100.0,93.8,99.0,100.0,Functional_Recovery
B006,365,Steel_Moment_Frame,Residential,5.0,2017.0,High_Code,D,Partial_Retrofit,0.345,0.487,0.037,100.0,100.0,97.9,100.0,Full_Recovery
B007,0,Unreinforced_Masonry,Retail,2.0,1961.0,Low_Code,C,No_Retrofit,0.659,0.578,0.322,NaN,20.6,0.0,0.0,Unsafe_Closed
B007,1,Unreinforced_Masonry,Retail,2.0,1961.0,NaN,C,No_Retrofit,0.659,0.578,0.322,3.2,33.5,1.3,2.2,Unsafe_Closed
B007,3,Unreinforced_Masonry,Retail,2.0,1961.0,NaN,C,No_Retrofit,0.659,0.578,0.322,NaN,44.0,3.5,2.7,Unsafe_Closed
B007,7,Unreinforced_Masonry,Retail,2.0,1961.0,Low_Code,C,No_Retrofit,0.659,0.578,0.322,13.0,52.6,0.0,0.0,Unsafe_Closed
B007,14,Unreinforced_Masonry,Retail,2.0,1961.0,Low_Code,C,No_Retrofit,0.659,0.578,0.322,47.5,72.0,0.0,5.4,Restricted_Access
B007,30,Unreinforced_Masonry,Retail,2.0,NaN,Low_Code,NaN,NaN,0.659,0.578,0.322,95.6,92.2,3.4,0.0,Restricted_Access
B007,60,Unreinforced_Masonry,Retail,2.0,1961.0,Low_Code,C,No_Retrofit,0.659,NaN,0.322,97.3,99.3,0.0,13.3,Reoccupancy
B007,90,Unreinforced_Masonry,Retail,2.0,1961.0,Low_Code,C,No_Retrofit,0.659,0.578,0.322,100.0,90.2,3.1,18.1,Reoccupancy
B007,120,Unreinforced_Masonry,Retail,2.0,1961.0,Low_Code,C,No_Retrofit,0.659,0.578,0.322,NaN,NaN,7.4,38.0,Reoccupancy
B007,180,Unreinforced_Masonry,Retail,2.0,1961.0,Low_Code,C,No_Retrofit,0.659,0.578,0.322,100.0,100.0,16.3,74.4,Reoccupancy
B007,240,Unreinforced_Masonry,Retail,2.0,1961.0,NaN,C,No_Retrofit,0.659,0.578,0.322,100.0,100.0,34.5,97.7,Functional_Recovery
B007,365,Unreinforced_Masonry,Retail,2.0,1961.0,Low_Code,C,No_Retrofit,0.659,0.578,0.322,98.1,97.5,82.7,100.0,Functional_Recovery
B008,0,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,NaN,57.3,0.2,0.0,Unsafe_Closed
B008,1,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,NaN,0.027,0.0,67.5,9.6,0.2,Unsafe_Closed
B008,3,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,20.7,69.5,0.0,4.1,Restricted_Access
B008,7,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,NaN,Partial_Retrofit,NaN,0.253,0.027,86.1,90.9,3.5,1.9,Reoccupancy
B008,14,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,94.7,93.9,8.8,NaN,Reoccupancy
B008,30,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,96.7,100.0,20.9,33.2,Reoccupancy
B008,60,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,NaN,0.151,NaN,0.027,99.0,93.2,67.8,96.0,Functional_Recovery
B008,90,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,94.9,93.5,100.0,98.2,Functional_Recovery
B008,120,Steel_Moment_Frame,NaN,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,100.0,97.1,96.0,100.0,Full_Recovery
B008,180,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,100.0,100.0,99.5,NaN,Full_Recovery
B008,240,Steel_Moment_Frame,NaN,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,98.4,98.3,98.6,100.0,Full_Recovery
B008,365,Steel_Moment_Frame,Residential,11.0,1991.0,High_Code,E,Partial_Retrofit,0.151,0.253,0.027,98.7,100.0,99.3,100.0,Full_Recovery
B009,0,Steel_Moment_Frame,Residential,3.0,1975.0,Low_Code,B,No_Retrofit,0.491,0.473,0.092,2.9,51.8,0.0,1.4,Unsafe_Closed
B009,1,Steel_Moment_Frame,Residential,3.0,1975.0,Low_Code,B,No_Retrofit,0.491,0.473,0.092,0.0,56.2,0.8,0.0,Unsafe_Closed
B009,3,Steel_Moment_Frame,Residential,3.0,NaN,Low_Code,B,No_Retrofit,0.491,0.473,0.092,NaN,55.2,0.0,6.8,Unsafe_Closed
B009,7,Steel_Moment_Frame,Residential,3.0,1975.0,Low_Code,B,No_Retrofit,NaN,0.473,0.092,NaN,68.5,3.5,2.3,Restricted_Access
B009,14,Steel_Moment_Frame,Residential,3.0,1975.0,Low_Code,B,No_Retrofit,0.491,0.473,0.092,85.8,86.4,4.9,5.7,Restricted_Access
B009,30,Steel_Moment_Frame,Residential,3.0,1975.0,NaN,B,No_Retrofit,0.491,0.473,NaN,100.0,100.0,0.9,0.0,Reoccupancy
B009,60,Steel_Moment_Frame,Residential,3.0,1975.0,Low_Code,B,No_Retrofit,0.491,0.473,0.092,100.0,100.0,7.3,19.2,Reoccupancy
B009,90,Steel_Moment_Frame,Residential,3.0,1975.0,Low_Code,B,No_Retrofit,0.491,0.473,0.092,97.0,100.0,NaN,59.7,Functional_Recovery
B009,120,Steel_Moment_Frame,Residential,3.0,1975.0,NaN,B,No_Retrofit,0.491,0.473,0.092,100.0,100.0,NaN,86.9,Functional_Recovery
B009,180,Steel_Moment_Frame,Residential,NaN,1975.0,Low_Code,B,NaN,0.491,0.473,0.092,NaN,92.9,70.2,97.1,Functional_Recovery
B009,240,Steel_Moment_Frame,Residential,3.0,1975.0,Low_Code,B,No_Retrofit,NaN,0.473,0.092,100.0,100.0,92.9,100.0,Full_Recovery
B009,365,NaN,Residential,NaN,1975.0,Low_Code,B,No_Retrofit,0.491,0.473,0.092,96.7,NaN,99.9,95.4,Full_Recovery
B010,0,Unreinforced_Masonry,NaN,2.0,2016.0,High_Code,D,NaN,0.366,0.338,NaN,6.1,54.5,1.9,0.0,Unsafe_Closed
B010,1,Unreinforced_Masonry,Office,2.0,2016.0,High_Code,D,No_Retrofit,0.366,0.338,NaN,5.7,60.3,5.2,1.1,Unsafe_Closed
B010,3,Unreinforced_Masonry,Office,2.0,2016.0,High_Code,D,No_Retrofit,0.366,0.338,0.049,11.2,62.6,0.3,NaN,Restricted_Access
B010,7,NaN,Office,2.0,2016.0,High_Code,NaN,No_Retrofit,0.366,0.338,0.049,43.0,73.9,3.1,NaN,Restricted_Access
B010,14,Unreinforced_Masonry,Office,2.0,2016.0,High_Code,D,No_Retrofit,0.366,0.338,NaN,98.9,NaN,0.0,NaN,Reoccupancy
B010,30,Unreinforced_Masonry,Office,2.0,2016.0,NaN,D,NaN,0.366,0.338,0.049,99.6,100.0,0.0,10.1,Reoccupancy
B010,60,Unreinforced_Masonry,Office,2.0,2016.0,High_Code,D,No_Retrofit,0.366,0.338,0.049,98.9,96.9,12.7,36.8,Reoccupancy
B010,90,Unreinforced_Masonry,Office,2.0,2016.0,High_Code,D,No_Retrofit,NaN,0.338,0.049,99.0,100.0,36.5,85.8,Functional_Recovery
B010,120,Unreinforced_Masonry,NaN,2.0,2016.0,High_Code,D,No_Retrofit,0.366,0.338,0.049,100.0,NaN,66.8,93.7,Functional_Recovery
B010,180,Unreinforced_Masonry,Office,2.0,NaN,NaN,D,No_Retrofit,0.366,0.338,0.049,98.5,100.0,94.8,100.0,Full_Recovery
B010,240,Unreinforced_Masonry,Office,2.0,2016.0,High_Code,D,No_Retrofit,0.366,0.338,0.049,100.0,92.3,100.0,96.6,Full_Recovery
B010,365,Unreinforced_Masonry,Office,2.0,2016.0,High_Code,D,NaN,0.366,0.338,0.049,100.0,97.2,100.0,NaN,Full_Recovery
B011,0,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,0.014,0.0,58.3,5.5,0.0,Unsafe_Closed
B011,1,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,0.014,2.2,59.3,0.7,1.7,Unsafe_Closed
B011,3,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,NaN,9.9,65.7,3.5,0.0,Restricted_Access
B011,7,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,0.014,49.7,86.4,0.7,9.6,Restricted_Access
B011,14,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,0.014,97.3,86.4,1.3,5.2,Reoccupancy
B011,30,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,NaN,100.0,100.0,11.9,12.4,Reoccupancy
B011,60,NaN,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,0.014,99.0,96.5,27.1,45.9,Reoccupancy
B011,90,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,NaN,0.649,0.014,99.5,100.0,61.2,88.1,Functional_Recovery
B011,120,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,0.014,100.0,100.0,88.8,100.0,Functional_Recovery
B011,180,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,NaN,0.63,0.649,0.014,100.0,NaN,99.9,100.0,Full_Recovery
B011,240,Steel_Braced_Frame,Residential,6.0,2013.0,High_Code,B,No_Retrofit,0.63,0.649,0.014,100.0,98.6,100.0,89.7,Full_Recovery
B011,365,Steel_Braced_Frame,Residential,6.0,2013.0,NaN,NaN,No_Retrofit,0.63,0.649,0.014,94.8,100.0,100.0,95.9,Full_Recovery
B012,0,RC_Shear_Wall,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,0.706,1.116,0.254,2.1,16.1,2.5,3.6,Unsafe_Closed
B012,1,NaN,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,0.706,1.116,0.254,NaN,20.8,0.0,3.1,Unsafe_Closed
B012,3,RC_Shear_Wall,Education,12.0,NaN,Moderate_Code,NaN,No_Retrofit,0.706,1.116,0.254,7.1,35.8,3.0,3.8,Unsafe_Closed
B012,7,RC_Shear_Wall,Education,NaN,2003.0,Moderate_Code,E,No_Retrofit,NaN,1.116,0.254,15.8,NaN,4.7,7.0,Restricted_Access
B012,14,RC_Shear_Wall,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,0.706,1.116,0.254,56.9,71.3,4.7,2.7,Restricted_Access
B012,30,RC_Shear_Wall,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,0.706,1.116,NaN,98.8,87.7,2.2,5.8,Reoccupancy
B012,60,RC_Shear_Wall,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,NaN,1.116,0.254,100.0,97.4,8.7,9.9,Reoccupancy
B012,90,RC_Shear_Wall,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,0.706,1.116,0.254,98.5,93.3,8.7,15.5,Reoccupancy
B012,120,RC_Shear_Wall,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,NaN,1.116,0.254,99.0,100.0,21.7,38.3,Reoccupancy
B012,180,RC_Shear_Wall,Education,12.0,2003.0,NaN,NaN,No_Retrofit,NaN,1.116,NaN,93.7,98.5,43.1,78.9,Functional_Recovery
B012,240,RC_Shear_Wall,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,0.706,1.116,0.254,100.0,100.0,77.4,97.6,Functional_Recovery
B012,365,RC_Shear_Wall,Education,12.0,2003.0,Moderate_Code,E,No_Retrofit,0.706,1.116,0.254,100.0,97.8,100.0,100.0,Full_Recovery
B013,0,RC_Moment_Frame,Education,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,NaN,0.113,4.2,47.4,3.1,0.9,Unsafe_Closed
B013,1,RC_Moment_Frame,Education,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,NaN,49.5,1.7,0.0,Unsafe_Closed
B013,3,RC_Moment_Frame,NaN,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,10.2,60.2,0.0,0.9,Unsafe_Closed
B013,7,RC_Moment_Frame,Education,6.0,NaN,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,41.9,79.3,10.9,0.1,Restricted_Access
B013,14,RC_Moment_Frame,Education,NaN,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,NaN,93.7,89.1,NaN,3.5,Reoccupancy
B013,30,RC_Moment_Frame,Education,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,95.4,100.0,6.4,4.9,Reoccupancy
B013,60,NaN,Education,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,NaN,97.3,28.5,32.7,Reoccupancy
B013,90,RC_Moment_Frame,Education,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,100.0,100.0,60.3,67.1,Functional_Recovery
B013,120,RC_Moment_Frame,Education,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,100.0,94.6,83.3,94.8,Functional_Recovery
B013,180,RC_Moment_Frame,Education,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,99.2,95.4,98.4,99.9,Full_Recovery
B013,240,RC_Moment_Frame,Education,6.0,1978.0,High_Code,NaN,Extensive_Retrofit,0.546,0.666,0.113,98.9,100.0,97.0,100.0,Full_Recovery
B013,365,RC_Moment_Frame,Education,6.0,1978.0,High_Code,D,Extensive_Retrofit,0.546,0.666,0.113,99.3,99.3,NaN,100.0,Full_Recovery
B014,0,Unreinforced_Masonry,Healthcare,3.0,1964.0,Low_Code,C,No_Retrofit,0.292,0.217,0.07,5.0,61.3,0.6,5.0,Unsafe_Closed
B014,1,Unreinforced_Masonry,Healthcare,3.0,1964.0,Low_Code,C,No_Retrofit,0.292,0.217,0.07,7.7,65.4,0.2,4.0,Unsafe_Closed
B014,3,Unreinforced_Masonry,Healthcare,3.0,1964.0,Low_Code,C,No_Retrofit,0.292,0.217,0.07,16.9,62.9,0.0,0.0,Restricted_Access
B014,7,Unreinforced_Masonry,Healthcare,3.0,1964.0,Low_Code,NaN,No_Retrofit,0.292,NaN,0.07,NaN,80.7,0.0,11.0,Restricted_Access
B014,14,Unreinforced_Masonry,Healthcare,3.0,1964.0,Low_Code,NaN,No_Retrofit,0.292,0.217,0.07,96.6,91.6,0.0,NaN,Reoccupancy
B014,30,NaN,Healthcare,3.0,1964.0,Low_Code,C,NaN,0.292,0.217,0.07,95.2,97.0,5.7,12.0,Reoccupancy
B014,60,Unreinforced_Masonry,Healthcare,3.0,1964.0,Low_Code,C,No_Retrofit,0.292,0.217,0.07,100.0,96.8,16.2,49.0,Reoccupancy
B014,90,Unreinforced_Masonry,Healthcare,3.0,1964.0,Low_Code,C,No_Retrofit,0.292,0.217,0.07,100.0,100.0,33.1,93.9,Functional_Recovery
B014,120,Unreinforced_Masonry,Healthcare,3.0,1964.0,Low_Code,C,No_Retrofit,0.292,0.217,0.07,100.0,100.0,66.2,NaN,Functional_Recovery
B014,180,Unreinforced_Masonry,NaN,3.0,1964.0,Low_Code,C,No_Retrofit,0.292,0.217,0.07,96.8,94.7,91.8,100.0,Functional_Recovery
